Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG	371817	86	14.0	48	394	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	09-Aug-2018	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;Low&quot;. - 64-bit processor and operating system are required. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F \/ AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 \/ AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;High&quot;. - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
Resident Evil	304240	Action, Adventure	Survival Horror, Zombies, Horror, Classic, Remake, Atmospheric, Singleplayer, Puzzle, Survival, Adventure, Action, Third Person, Cult Classic, Female Protagonist, Story Rich, Difficult, Gore, Shooter, Great Soundtrack, Third-Person Shooter	18523	92.6	12.7	11	20	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	19-Jan-2015	NA	OS: Windows® 8.1 \/ Windows®10Processor: Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or betterMemory: 2 GB RAMGraphics: NVIDIA® GeForce® GTX260, ATI Radeon HD 6790, or betterMonitor Resolution: 1024×768 or higherDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectSound compatible (must support DirectX 9.0c or higher)Additional Notes: Controller: Supports Keyboard +Mouse.  Genuine Xbox 360 PC compatible controller or comparable XInput-based gamepad recommended.Note: Some high end integrated graphics chips and modern gaming laptops with a discrete GPU may work but have not been tested, nor are they officially supported by Capcom. 	OS: Windows® 8.1 \/ Windows®10Processor: Intel® Core™ 2 Quad 2.7 GHz, AMD Phenom™ II X4 3.0 GHz or betterMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 560, ATI Radeon HD 6950, or betterMonitor Resolution: 1280×720 or higherDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectSound compatible (must support DirectX 9.0c or higher)Additional Notes: Controller: Supports Keyboard +Mouse. Genuine Xbox 360 PC compatible controller or comparable XInput-based gamepad recommended.Note: Some high end integrated graphics chips and modern gaming laptops with a discrete GPU may work but have not been tested, nor are they officially supported by Capcom.
Insurgency	222880	Action, Indie, Strategy	FPS, Realistic, Tactical, Multiplayer, Shooter, Action, Military, Team-Based, Co-op, First-Person, War, Strategy, Online Co-Op, Competitive, Indie, Simulation, PvP, Singleplayer, Atmospheric, Adventure	124488	91.8	10.5	7	53	NA	New World Interactive	New World Interactive	22-Jan-2014	NA	MinimumOS: Windows® 7Processor: Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or betterMemory: 4 GB RAMGraphics: Video card must be 512 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0Hard Drive: 10 GB HD spaceDirectX: 9.0c RecommendedMemory: 8 GB RAMGraphics: Video card 2048 MB or moreHard Drive: 10 GB HD space on a SSD	NA
Realm Royale Reforged	813820	Action, Free to Play, Early Access	Battle Royale, Free to Play, Multiplayer, Shooter, Survival, Early Access, PvP, Action, Third-Person Shooter, Third Person, FPS, Competitive, Team-Based, Fantasy, Massively Multiplayer, Open World, Co-op, Online Co-Op, Memes, Singleplayer	55022	75.7	10.0	0	15	NA	Heroic Leap Games	Hi-Rez Studios	05-Jun-2018	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64-bit or newerProcessor: Core 2 Duo 2.4 GHz or Athlon X2 2.7 GHzMemory: 4 GB RAMGraphics: Nvidia GeForce 8800 GTStorage: 30 GB available spaceSound Card: DirectX compatible sound card 	Requires a 64-bit processor and operating systemOS: Windows 8\/10 64-bit (latest Service Pack)Processor: Intel Core i5-750, 2.67 GHz \/ AMD Phenom II X4 965, 3.4 GHzMemory: 6 GB RAMGraphics: Nvidia GeForce GTX 660 or ATI Radeon HD 7950Network: Broadband Internet connectionStorage: 30 GB available spaceSound Card: DirectX compatible sound card
Among Us	945360	Casual	Multiplayer, Online Co-Op, Social Deduction, Space, Survival, 2D, Funny, Psychological, Co-op, Party Game, Cartoony, Local Multiplayer, Casual, Action, PvP, Minigames, Sci-fi, Colorful, Top-Down, Aliens	651788	91.8	9.8	9	20	NA	Innersloth	Innersloth	16-Nov-2018	NA	OS: Windows 10 x32bitProcessor: INTEL i3-4330Memory: 1 GB RAMGraphics: INTEL HD Graphics 4600 	OS: Windows 10 x64bitProcessor: INTEL i3-4330Memory: 4 GB RAMGraphics: Nvidia GTX 650
Resident Evil 2	883710	Action	Zombies, Survival Horror, Horror, Remake, Singleplayer, Third Person, Gore, Action, Atmospheric, Puzzle, Violent, Story Rich, Classic, Survival, Multiplayer, Female Protagonist, Dark, Adventure, Shooter, Difficult	120308	97.1	9.4	9	34	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	24-Jan-2019	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 460DirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p\/30 FPS. If you have don't have enough graphics memory to run the game at your selected texture quality, you must go to Options &gt; Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480  with 3GB VRAMDirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p\/60 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
Loadout	208090	Action, Free to Play, Indie	Free to Play, Third-Person Shooter, Action, Gore, Multiplayer, Gun Customization, Shooter, Funny, Fast-Paced, Indie, Comedy, Mature, Character Customization, Third Person, Blood, Cartoony, Massively Multiplayer, Co-op, Crafting, Arena Shooter	39795	86.9	8.5	Sin registro de tiempo	Sin registro de tiempo	NA	Edge of Reality	Edge of Reality	31-Jan-2014	X	OS:Windows XP SP3, Windows Vista, Windows 7, Windows 8\tProcessor:Intel Core 2 Duo or AMD equivalent or better\tMemory:2 GB RAM\tGraphics:ATI Radeon HD 4350 \/ NVIDIA GeForce 6800 \/ Intel HD 3000 or better\tDirectX®:9.0c\tHard Drive:4GB HD space\tSound:DirectX compatible Sound Card\tOther Requirements:Broadband Internet connection	NA
Age of Empires II (2013)	221380	Strategy	Strategy, RTS, Medieval, Multiplayer, Classic, Historical, Base-Building, City Builder, Resource Management, Singleplayer, Tactical, Real-Time, Co-op, Competitive, Replay Value, Remake, 2D, Isometric, Action, Adventure	96325	95.7	8.5	31	130	NA	Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires	Xbox Game Studios	09-Apr-2013	NA	OS:Windows Vista, 7, 8 Pro+\tProcessor:1.2GHZ CPU\tMemory:1 GB RAM\tGraphics:Direct X 9.0c Capable GPU\tDirectX®:9.0c\tHard Drive:2 GB HD space 	Additional:900x600 minimum display resolution
Planet Zoo	703080	Casual, Simulation, Strategy	Management, Simulation, Building, Sandbox, Nature, City Builder, Economy, Realistic, Singleplayer, Family Friendly, Cute, Resource Management, Great Soundtrack, Strategy, Relaxing, Open World, Multiplayer, Casual, Funny, Horses	64525	90.5	7.7	39	96	NA	Frontier Developments	Frontier Developments	05-Nov-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (SP1+)\/8.1\/10 64bitProcessor: Intel i5-2500 \/ AMD FX-6350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 770 (2GB) \/ AMD Radeon R9 270X (2GB)Storage: 16 GB available spaceAdditional Notes: Minimum specifications may change during development 	Requires a 64-bit processor and operating systemOS: Windows 10 64bitProcessor: Intel i7-4770k \/ AMD Ryzen 5 1600Memory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1070 (8GB) or AMD Radeon RX 580 (8GB)Storage: 16 GB available space
The Elder Scrolls V: Skyrim Special Edition	489830	RPG	Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Dragons, Moddable, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator	240226	91.4	7.6	26	213	NA	Bethesda Game Studios	Bethesda Softworks	27-Oct-2016	NA	OS: Windows 7\/8.1\/10 (64-bit Version)Processor: Intel i5-750\/AMD Phenom II X4-945Memory: 8 GB RAMGraphics: NVIDIA GTX 470 1GB \/AMD HD 7870 2GBStorage: 12 GB available space 	OS: Windows 7\/8.1\/10 (64-bit Version)Processor: Intel i5-2400\/AMD FX-8320Memory: 8 GB RAMGraphics: NVIDIA GTX 780 3GB \/AMD R9 290 4GBStorage: 12 GB available space
