Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Torchlight II	200710	Action, Adventure, Indie, RPG	RPG, Action RPG, Hack and Slash, Loot, Dungeon Crawler, Co-op, Fantasy, Online Co-Op, Multiplayer, Action, Adventure, Singleplayer, Indie, Moddable, Character Customization, Isometric, Replay Value, Steampunk, Atmospheric, Cartoon	44341	92.8	39.27	21	79	119	27.04 ± 23.64	0.6	63.03	2014-06-04	2022-02-22	2022-02-22	Runic Games	Arc Games	20-Sep-2012	NA	OS *: Windows XP SP3\/Vista\/Windows 7 Processor: x86-compatible 1.4GHz or faster processor Memory: 1GB System RAM Hard Disk Space: 1.7GB free space (subject to change) Video Card: DirectX compatible 3D graphics card with at least 256MB of addressable memory. DirectX®: 9.0c        Internet: A broadband internet connection (for Steam download and online multiplayer) - Online multiplayer requires a free Runic Account	NA
High On Life	1583230	Action, Adventure	Comedy, FPS, Singleplayer, Dark Humor, Adventure, Sci-fi, Action-Adventure, First-Person, Shooter, Action, Violent, Sexual Content, Story Rich, Gore, Colorful, Open World, Combat, Nudity, Funny, NSFW	19348	88.9	36.42	9	21	44	27.84 ± 26.83	0.8	100	2023-08-18	2023-11-06	2023-11-06	Squanch Games, Inc.	Squanch Games, Inc.	13-Dec-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel(R) Core(TM) i5-4430K CPU @ 3.00GHz (4 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1060 (3GB)\/AMD Radeon R9 290x (4GB)DirectX: Version 11Storage: 59 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel(R) Core(TM) i5-6402p CPU @ 2.80GHz (4 CPUs) \/ AMD Ryzen 5 2600 (3.4 GHz)Memory: 8 GB RAMGraphics: NVIDIA GeForce RTX 2060 (6GB)\/AMD RX 5600 XT (6GB)DirectX: Version 12Storage: 59 GB available spaceAdditional Notes: SSD Recommended
The Witness	210970	Adventure, Indie	Puzzle, Exploration, First-Person, Open World, Singleplayer, Colorful, Indie, Atmospheric, Difficult, Walking Simulator, Adventure, Mystery, Nonlinear, Philosophical, Relaxing, Surreal, Casual, Great Soundtrack, Story Rich, Beautiful	18937	84.9	34.85	17	38	2	12.1 ± 9.62	5.3	50	2017-05-29	2017-05-29	2018-03-11	Thekla, Inc.	Thekla, Inc.	26-Jan-2016	NA	OS *: Windows 7Processor: 1.8GHzMemory: 4 GB RAMGraphics: Intel HD 4000 seriesDirectX: Version 10Storage: 5 GB available space 	OS *: Windows 7Processor: 2.4GHzMemory: 8 GB RAMGraphics: GeForce 780DirectX: Version 10Storage: 5 GB available space
Magic 2015	255420	Strategy	Card Game, Strategy, Trading Card Game, Magic, Multiplayer, Turn-Based, Fantasy, Singleplayer, Turn-Based Strategy, Adventure, Deckbuilding, Board Game	4007	45.3	33.98	10	44	35	27.16 ± 21.87	2.8	88.57	2015-01-23	2015-07-21	2021-03-25	Stainless Games	Wizards of the Coast	16-Jul-2014	X	OS *: Windows 8\/7\/Vista (XP not supported)Processor: 2GHz CPU (Pentium 4 or equivalent)Memory: 1 GB RAMGraphics: 512MB DirectX 9.0c compatible video card with Pixelshader 3.0 supportDirectX: Version 9.0cSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Memory: 1GB RAM (2GB for Vista and Windows 7)	NA
Yooka-Laylee	360830	Action, Adventure, Indie	3D Platformer, Collectathon, Adventure, Kickstarter, Indie, Platformer, Colorful, Action, Family Friendly, Exploration, Great Soundtrack, Singleplayer, Cute, Funny, Retro, Open World, Casual, Comedy, Cartoony, Multiplayer	5257	74.9	33.18	15	25	35	25.23 ± 19.03	6.1	100	2018-06-01	2018-07-03	2018-07-03	Playtonic Games	Playtonic Friends	11-Apr-2017	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 (64bit)Processor: Intel i5-2500 3.3GHzMemory: 8 GB RAMGraphics: NVidia GTS450 \/ AMD Radeon 6850HDDirectX: Version 11Storage: 9 GB available spaceSound Card: Windows Compatible CardAdditional Notes: A Controller is STRONGLY recommended to play this game. 	Requires a 64-bit processor and operating system
Deadpool	224060	Action	Funny, Action, Superhero, Singleplayer, Comedy, Shooter, Gore, Dark Humor, Adventure, Third Person, Hack and Slash, Comic Book, Mature, Nudity, Memes, Third-Person Shooter, Story Rich, Beat 'em up, Multiplayer, Open World	3694	91.2	32.95	7	17	50	25.49 ± 26.5	2.9	100	2015-03-30	2022-05-28	2022-05-28	High Moon Studios	Activision	NA	X	NA	NA
Blasphemous 2	2114740	Action, Adventure, Indie	Combat, Fantasy, Metroidvania, Souls-like, Adventure, 2D Platformer, Pixel Graphics, Difficult, Side Scroller, Hack and Slash, Unforgiving, 2D, Platformer, Action RPG, Horror, Lore-Rich, Action-Adventure, Story Rich, Nonlinear, Multiple Endings	14237	91.3	32.25	16	26	55	32.19 ± 20.49	3.8	100	2023-08-25	2024-12-21	2024-12-21	The Game Kitchen	Team17	24-Aug-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core 2 Duo E8400 or AMD Phenom II X2 550Memory: 4 GB RAMGraphics: NVIDIA GeForce GT 520, 1 GB or AMD Radeon HD 7470, 1 GB or Intel HD Graphics 4400Storage: 4 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i3-550 or AMD FX-4100Memory: 6 GB RAMGraphics: NVIDIA GeForce GT 710, 1 GB or AMD Radeon R7 240, 1 GB or Intel HD Graphics 530Storage: 4 GB available space
Mercenary Kings	218820	Action, Adventure, Indie, RPG	Action, Indie, 2D, Co-op, Pixel Graphics, Platformer, Side Scroller, Local Co-Op, Crafting, Adventure, Shooter, RPG, Split Screen, Retro, Online Co-Op, Local Multiplayer, Shoot 'Em Up, Arcade, Kickstarter, Female Protagonist	2426	70.4	32.02	20	53	26	5.56 ± 7.76	0.7	61.54	2014-12-01	2014-12-18	2022-02-20	Tribute Games Inc.	Tribute Games Inc.	25-Mar-2014	NA	OS:Vista or later Processor: Intel Core™ Duo or faster Video Card: OpenGL 3.0 compliant video card Memory: 2 GB RAM Hard Drive: 300 MB HD space	NA
N++	230270	Action	Precision Platformer, 2D Platformer, Local Co-Op, Local Multiplayer, Action, Difficult, Parkour, Level Editor, Minimalist, Indie, Ninja, Singleplayer, Puzzle-Platformer, Fast-Paced, Colorful, 4 Player Local, Arcade, Family Friendly, Physics, Platformer	3206	93.7	30.18	28	414	33	11.29 ± 19.89	0.3	60.61	2017-01-16	2017-03-09	2019-01-11	Metanet Software Inc.	Metanet Software Inc.	25-Aug-2016	NA	OS *: 32-bit Windows VistaProcessor: Core i3 \/ AMD A6 2.4GhzMemory: 2 GB RAMGraphics: 512MB VRAM NVIDIA GeForce 8xxx series \/ ATI Radeon HD 3xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it. 	OS *: 64-bit Windows 7Processor: Core i5 \/ AMD FX 2.4GhzMemory: 4 GB RAMGraphics: 1024MB VRAM NVIDIA GeForce GTX 4xx series \/ ATI Radeon HD 5xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it.
Dead Island	91310	Action, RPG	NA	15328	86.7	28.07	18	49	48	24.87 ± 17.49	2.5	50	2014-04-17	2015-05-15	2015-05-15	Techland	Deep Silver	NA	X	NA	NA
Wasteland 2	240760	Adventure, Indie, RPG, Strategy	RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Isometric, Adventure, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG	8054	82.5	27.73	41	100	46	5.46 ± 4.41	0.5	0	NA	NA	2016-04-04	inXile Entertainment	inXile Entertainment	18-Sep-2014	NA	OS *: Windows XP\/Vista\/7\/8\/8.1\/10 (64 bit)Processor: Intel Core 2 Duo or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 260 or Radeon HD 4850 (512 MB VRAM)DirectX: Version 9.0cStorage: 30 GB available spaceSound Card: DirectX compatible sound card 	OS *: Windows 7\/8\/8.1\/10 (64 bit)Processor: Intel i5 series or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 460 or Radeon HD 5770 (1 GB VRAM)DirectX: Version 10Storage: 30 GB available spaceSound Card: DirectX compatible sound card
Resident Evil 4 (2005)	254700	Action, Adventure	Inventory Management, Survival Horror, Action, Zombies, Horror, Third-Person Shooter, Singleplayer, Adventure, Classic, Third Person, Quick-Time Events, Atmospheric, Survival, Shooter, Gore, Replay Value, Great Soundtrack, Remake, Difficult, VR	82434	93.4	27.5	16	64	12	34.22 ± 17.42	11.3	100	2015-09-14	2022-05-05	2022-05-05	Capcom	Capcom	27-Feb-2014	NA	OS: Windows® 10Processor: Intel® Core™ 2 Duo 2.4 Ghz or better, AMD Athlon™ X2 2.8 Ghz or betterMemory: 2 GB RAMGraphics: NVIDIA® GeForce® 8800GTS or better, ATI Radeon™ HD 4850 or betterDirectX: Version 9.0cStorage: 15 GB available spaceSound Card: Standard audio device 	OS: Windows® 10Processor: Intel® Core™ 2 Quad 2.7 Ghz or better, AMD Phenom™ II X4 3 Ghz or betterMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 560 or betterDirectX: Version 9.0cStorage: 15 GB available space
Unepic	233980	Action, Indie, RPG	RPG, Indie, Metroidvania, Platformer, Action, Comedy, 2D, Exploration, Fantasy, Adventure, Co-op, Singleplayer, Multiplayer, Funny, Side Scroller, Pixel Graphics, Retro, Magic, Epic, Online Co-Op	7984	91.4	27.05	18	41	57	17.02 ± 13.9	1	22.81	2015-01-24	2015-02-07	2017-02-13	@unepic_fran	Unepic Games	25-Jul-2014	NA	OS *:Windows XP Processor:Dual Core Memory:4 GB GB RAM Graphics:256mb, Compatible with OpenGL DirectX®:7.0 Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first. Recomended:OS *:Windows XP or later Processor:Quad Core Memory:8GB Graphics:Nvidia Geforce 512GB or more DirectX®:7.0 or later Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first.	NA
Plants vs. Zombies: Game of the Year	3590	Strategy	Tower Defense, Zombies, Strategy, Singleplayer, Casual, Classic, Great Soundtrack, 2D, Comedy, Family Friendly, Funny, Puzzle, Addictive, Cute, Survival, Indie, Tactical, Adventure, Touch-Friendly, Post-apocalyptic	139925	97.6	25.73	8	43	21	28 ± 21.69	8.3	57.14	2015-06-16	2022-02-07	2022-02-12	PopCap Games, Inc.	PopCap Games, Inc., Electronic Arts	05-May-2009	NA	OS *: Windows XP\/Vista\/7                     Processor: 1.2GHz+ processor                     Memory: 1GB of RAM                     Graphics: 128MB of video memory, 16-bit or 32-bit color quality                     DirectX: DirectX 8 or later                     Hard Drive: 65+MB of free hard drive space                     Sound: DirectX-compatible sound                    	NA
Mark of the Ninja	214560	Action, Adventure, Indie	Stealth, Platformer, Ninja, Indie, 2D, Action, Singleplayer, Side Scroller, Adventure, Assassin, Atmospheric, Controller, Replay Value, Cartoon, Puzzle, Dark, Short, Story Rich, Strategy, Casual	15836	97	25.4	8	21	38	21.72 ± 21.25	2.6	100	2015-05-24	2015-10-27	2015-10-27	Klei Entertainment	Microsoft Studios	NA	X	OS *:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:AMD Phenom 9750 or Pentium D 800+ Memory:2 GB RAM Graphics:NVIDIA® GeForce® 7800 GT or ATI Radeon™ HD 3000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers 	OS *:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory:2 GB RAM Graphics:NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers
The Whispered World Special Edition	268540	Adventure, Indie	Adventure, Point & Click, Indie, Singleplayer, Puzzle, Story Rich, Fantasy, Atmospheric, Great Soundtrack, Hand-drawn, Comedy, Escape Room, Funny, 2D	1976	75.6	25.33	10	13	20	15.91 ± 10.95	4.9	100	2014-06-24	2014-08-02	2014-08-02	Daedalic Entertainment	Daedalic Entertainment	06-May-2014	NA	OS *: Windows Vista\/7Processor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 1 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible 	OS *: Windows Vista\/7\/8-32bitProcessor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 512 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible
Shantae and the Pirate's Curse	345820	Action, Adventure, Indie, RPG	Platformer, Metroidvania, Female Protagonist, Great Soundtrack, 2D, Pixel Graphics, Action, Adventure, Anime, Indie, Cute, Singleplayer, Pirates, Funny, Side Scroller, RPG, Difficult, Sexual Content, Exploration, Comedy	2853	93	23.63	8	10	44	22.99 ± 17.2	2.1	100	2016-03-07	2024-03-08	2024-03-08	WayForward	WayForward	23-Apr-2015	NA	OS *: Windows®Vista™ or Windows®7Processor: Intel™ Pentium 4 2.4 ghz with Hyper ThreadingMemory: 1 GB RAMGraphics: Intel® HD GraphicsDirectX: Version 11Storage: 1 GB available space 	OS *: Windows®7 or Windows®8Processor: Intel™ Core 2 Duo \/ AMD™ Athlon 64 X2 or higherMemory: 4 GB RAMGraphics: NVIDIA® GeForce™ 200 series or higher, AMD® Radeon™ HD5000 series or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory.DirectX: Version 11Storage: 2 GB available space
Orcs Must Die! 2	201790	Action, Adventure, Indie, RPG, Strategy	Tower Defense, Co-op, Action, Strategy, Online Co-Op, Indie, Multiplayer, Third Person, RPG, Third-Person Shooter, Adventure, Comedy, Singleplayer, Cartoony, Shooter, Fantasy, Female Protagonist, Controller, Funny, Great Soundtrack	19288	92.9	22.95	8	41	27	23.6 ± 25.06	2.4	62.96	2014-05-11	2017-06-21	2021-12-26	Robot Entertainment	Robot Entertainment	30-Jul-2012	NA	OS *:Windows XP, Windows Vista, Windows 7 Processor:2GHz Dual Core Memory:2 GB RAM Graphics:NVIDIA GeForce 6800 or ATI Radeon x1950 or better with 256MB VRAM DirectX®:9.0c Hard Drive:9 GB HD space Additional:Broadband Internet connection recommended for co-op play. 	Other Requirements:Broadband Internet connection Additional:Broadband Internet connection recommended for co-op play.
Dust: An Elysian Tail	236090	Action, Adventure, Indie, RPG	Action, Platformer, Metroidvania, Indie, RPG, Adventure, 2D, Singleplayer, Fantasy, Great Soundtrack, Beat 'em up, Hack and Slash, Exploration, Story Rich, Controller, Beautiful, Side Scroller, Anime, Action RPG, Atmospheric	18638	95.3	22.83	10	18	30	34.57 ± 24.09	5	100	2014-02-20	2016-09-19	2016-09-19	Humble Hearts LLC	Xbox Game Studios	24-May-2013	NA	OS *: Windows Vista Processor: Intel Core 2 Duo 2.8Ghz or equivalent Memory: 1 GB RAM Graphics: DirectX 10 compatible video card with shader model 3.0 support Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Keyboard OS *: Windows 7 Processor: Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory: 2 GB RAM Graphics: NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Mouse and Keyboard or XInput-compatible Gamepad	NA
Cuphead	268910	Action, Indie	Difficult, Cartoon, Co-op, Platformer, Great Soundtrack, Local Co-Op, 2D, Multiplayer, Hand-drawn, Indie, Cartoony, Retro, Bullet Hell, Action, Shoot 'Em Up, Singleplayer, Side Scroller, Colorful, Souls-like, Funny	186835	96.3	22.83	11	27	42	18 ± 20.07	2.3	100	2018-02-03	2025-02-15	2025-02-19	Studio MDHR Entertainment Inc.	Studio MDHR Entertainment Inc.	29-Sep-2017	NA	Requires a 64-bit processor and operating systemOS *: Windows 7Processor: Intel Core2 Duo E8400, 3.0GHz or AMD Athlon 64 X2 6000+, 3.0GHz or higherMemory: 3 GB RAMGraphics: Geforce 9600 GT or AMD HD 3870 512MB or higherDirectX: Version 11Storage: 4 GB available space 	Requires a 64-bit processor and operating system
DRAGON BALL XENOVERSE	323470	Action	Anime, Fighting, Action, Character Customization, Multiplayer, Co-op, Adventure, Singleplayer, RPG, Online Co-Op, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op	20902	89.8	22.72	17	90	50	24.6 ± 23.39	1.1	44	2015-04-05	2016-06-07	2022-04-24	DIMPS	BANDAI NAMCO Entertainment	26-Feb-2015	NA	OS *: Windows Vista (x64) \/ Windows 7 (x64)Processor: Intel Core 2 Duo 2.4Ghz \/ AMD Athlon 64 X2 5200+, 2.6GHzMemory: 2 GB RAMGraphics: 512 MB Nvidia GeForce 8800 \/ ATI Radeon HD 3870DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space 	OS *: Windows Vista (x64) \/ Windows 7 (x64) \/ Windows 8 (x64)Processor: Intel Core i3-530, 2.93 GHz \/ AMD Phenom II X4 940, 3.0GHzMemory: 4 GB RAMGraphics: 1 GB Nvidia GeForce GTX 550Ti  \/ AMD Radeon HD 6790DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space
METAL SLUG	366250	Action	Action, Arcade, 2D, Shoot 'Em Up, Side Scroller, Retro, Multiplayer, Co-op, Classic, Local Multiplayer, Shooter, Pixel Graphics, Local Co-Op, Platformer, Funny, Singleplayer, Fast-Paced, Adventure, Cartoony, Great Soundtrack	4457	89.4	22.1	1	3	15	43.59 ± 24.73	2	100	2015-08-08	2022-01-12	2022-01-12	Dotemu	SNK CORPORATION	25-Jun-2015	NA	OS *: Windows Vista, 7, 8Processor: Pentium 4 2.4GhzMemory: 1 GB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0cStorage: 500 MB available space 	OS *: Windows Vista, 7, 8Processor: 2 GHz Dual CoreMemory: 2 GB RAMGraphics: NVIDIA GeForce GT 640DirectX: Version 9.0cStorage: 500 MB available space
Hades	1145360	Action, Indie, RPG	Action Roguelike, Rogue-lite, Hack and Slash, Indie, Mythology, Action, Rogue-like, Singleplayer, Great Soundtrack, Story Rich, RPG, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand-drawn, Atmospheric, Perma Death, LGBTQ+	279741	98.2	22.1	23	95	49	26.51 ± 19.24	6.1	26.53	2023-01-05	2025-04-18	2025-05-30	Supergiant Games	Supergiant Games	17-Sep-2020	NA	OS *: Windows 7 SP1Processor: Dual Core 2.4 GHzMemory: 4 GB RAMGraphics: 1GB VRAM \/ DirectX 10+ supportStorage: 15 GB available space 	OS *: Windows 7 SP1Processor: Dual Core 3.0 GHz+Memory: 8 GB RAMGraphics: 2GB VRAM \/ DirectX 10+ supportStorage: 20 GB available space
