Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Resident Evil 5	21690	Action, Adventure	Action, Co-op, Zombies, Third-Person Shooter, Co-op Campaign, Horror, Online Co-Op, Adventure, Multiplayer, Third Person, Survival Horror, Shooter, Singleplayer, Local Co-Op, Female Protagonist, Quick-Time Events, Survival, Gore, Atmospheric, 3D Vision	36681	87.5	45.98	12	34	70	78.57	2022-06-13	2023-04-22	2023-04-22	Capcom	Capcom	15-Sep-2009	NA	Supported OS: Windows®10                                 Processor: Intel Core™ 2 Quad 2.4GHz or better, AMD Phenom™ II x4 3.4GHZ or better                                 Memory: 4GB or better          Graphics: 512 MB VRAM, NVIDIA® GeForce 9800 series or better, ATI Radeon HD 7770 or better        Display:  Minimum 800 x 600 pixel resolution        Sound: DirectSound Compatible (DirectX 9.0c or higher)             DirectX®: DirectX 9.0c \/ Shader 3.0  or better                           Hard Drive: 15 GB free hard drive space                 Peripherals: Keyboard and mouse               Internet connection required for game activation. Supported OS: Windows®10                              Processor: Intel Core™ i5-3570 or better, AMD Phenom™ II x4 3.4GHZ or better                                 Memory: 4GB or better          Graphics: 512 MB VRAM, NVIDIA(R) GeForce® GTX 650 or better, ATI Radeon HD 7770 or better        Display:  Minimum 1280 x 720 pixel resolution        Sound: DirectSound Compatible (DirectX 9.0c or higher)             DirectX®: DirectX 9.0c \/ Shader 3.0 or better                            Hard Drive: 15 GB free hard drive space                 Peripherals: Keyboard and mouse, controller supported                Internet connection required for game activation.	NA
Vampire Survivors	1794680	Action, Casual, Indie, RPG	Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, 2D, Indie, Singleplayer, Vampire, Casual, Action, Arcade, RPG, Controller, Retro, Score Attack, Action RPG, Rogue-like, Dark Fantasy, Early Access, 1980s	201177	98.7	45.33	11	44	190	75.79	2022-02-11	2023-07-03	2023-07-03	poncle	poncle	20-Oct-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64bitProcessor: Intel Pentium 4 processor or later that's SSE2 capableMemory: 1 GB RAMStorage: 400 MB available space 	Requires a 64-bit processor and operating system
Road Redemption	300380	Action, Adventure, Indie, Racing, Simulation	Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Violent, Adventure, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Rogue-like, Funny, Rogue-lite, Sports, Shooter	10996	82.2	43.28	6	22	55	100	2015-12-13	2022-04-19	2022-04-19	EQ Games, Pixel Dash Studios	Tripwire Presents	04-Oct-2017	NA	Requires a 64-bit processor and operating systemOS: Windows XP, VistaProcessor: 1.4GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 1.5GB of video memoryDirectX: Version 9.0Storage: 1000 MB available space 	Requires a 64-bit processor and operating systemOS: Windows 7, 8, 10Processor: 2GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 2GB of video memoryDirectX: Version 9.0Storage: 2500 MB available space
Fable Anniversary	288470	RPG	RPG, Fantasy, Open World, Adventure, Classic, Singleplayer, Remake, Action RPG, Choices Matter, Atmospheric, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny	12174	85	39.37	13	32	50	100	2017-08-01	2017-09-17	2017-09-17	Lionhead Studios	Xbox Game Studios	12-Sep-2014	NA	OS: Windows 7\/8Processor: Intel 2GHz Core2 Duo \/ AMD Athlon 64 x2 2.4GHzMemory: 3 GB RAMGraphics: Radeon X1800\/ Nvidia GeForce 7600GTDirectX: Version 9.0Storage: 10 GB available space 	OS: Windows 7\/8 64bitProcessor: Intel Core2 Quad 2.33GHzMemory: 4 GB RAMGraphics: Nvidia GeForce GTX 260DirectX: Version 9.0Storage: 10 GB available space
Torchlight II	200710	Action, Adventure, Indie, RPG	RPG, Action RPG, Hack and Slash, Dungeon Crawler, Loot, Co-op, Fantasy, Online Co-Op, Multiplayer, Action, Adventure, Singleplayer, Indie, Moddable, Character Customization, Isometric, Replay Value, Steampunk, Atmospheric, Cartoon	42242	92.9	39.27	21	75	119	63.03	2014-06-04	2022-02-22	2022-02-22	Runic Games	Gearbox Publishing	20-Sep-2012	NA	OS: Windows XP SP3\/Vista\/Windows 7 Processor: x86-compatible 1.4GHz or faster processor Memory: 1GB System RAM Hard Disk Space: 1.7GB free space (subject to change) Video Card: DirectX compatible 3D graphics card with at least 256MB of addressable memory. DirectX®: 9.0c        Internet: A broadband internet connection (for Steam download and online multiplayer) - Online multiplayer requires a free Runic Account	NA
The East New World	462950	Action, Adventure, Indie, RPG	Adventure, RPG, Action, Indie, Platformer	49	51	38.55	No time registered yet	No time registered yet	40	75	2022-05-15	2023-03-18	2023-03-30	TEN10 Games	TEN10 Games	26-Apr-2016	X	OS: Windows XP or aboveProcessor: 1.0 Ghz or aboveMemory: 1 GB RAMGraphics: Any DirectX 9.0 supported cardStorage: 500 MB available spaceSound Card: Any audio output	NA
The Witness	210970	Adventure, Indie	Puzzle, Exploration, First-Person, Open World, Singleplayer, Colorful, Indie, Atmospheric, Difficult, Walking Simulator, Adventure, Mystery, Nonlinear, Relaxing, Philosophical, Casual, Surreal, Great Soundtrack, Story Rich, Beautiful	15646	85	34.85	17	41	2	50	2017-05-29	2017-05-29	2018-03-11	Thekla, Inc.	Thekla, Inc.	26-Jan-2016	NA	OS: Windows 7Processor: 1.8GHzMemory: 4 GB RAMGraphics: Intel HD 4000 seriesDirectX: Version 10Storage: 5 GB available space 	OS: Windows 7Processor: 2.4GHzMemory: 8 GB RAMGraphics: GeForce 780DirectX: Version 10Storage: 5 GB available space
Magic 2015	255420	Strategy	Card Game, Strategy, Trading Card Game, Magic, Multiplayer, Turn-Based, Fantasy, Singleplayer, Turn-Based Strategy, Adventure, Deckbuilding, Board Game	4037	45.1	33.98	10	49	35	88.57	2015-01-23	2015-07-21	2021-03-25	Stainless Games	Wizards of the Coast	16-Jul-2014	X	OS: Windows 8\/7\/Vista (XP not supported)Processor: 2GHz CPU (Pentium 4 or equivalent)Memory: 1 GB RAMGraphics: 512MB DirectX 9.0c compatible video card with Pixelshader 3.0 supportDirectX: Version 9.0cSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Memory: 1GB RAM (2GB for Vista and Windows 7)	NA
Yooka-Laylee	360830	Action, Adventure, Indie	Collectathon, 3D Platformer, Adventure, Kickstarter, Indie, Platformer, Colorful, Action, Family Friendly, Exploration, Great Soundtrack, Singleplayer, Cute, Funny, Retro, Casual, Open World, Comedy, Cartoony, Multiplayer	4833	75.6	33.18	15	24	35	100	2018-06-01	2018-07-03	2018-07-03	Playtonic Games	Playtonic Friends	11-Apr-2017	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (64bit)Processor: Intel i5-2500 3.3GHzMemory: 8 GB RAMGraphics: NVidia GTS450 \/ AMD Radeon 6850HDDirectX: Version 11Storage: 9 GB available spaceSound Card: Windows Compatible CardAdditional Notes: A Controller is STRONGLY recommended to play this game. 	Requires a 64-bit processor and operating system
Deadpool	224060	Action	Funny, Action, Superhero, Singleplayer, Comedy, Shooter, Gore, Dark Humor, Adventure, Third Person, Hack and Slash, Comic Book, Mature, Nudity, Memes, Third-Person Shooter, Story Rich, Beat 'em up, Multiplayer, Open World	3694	91.2	32.95	7	17	50	100	2015-03-30	2022-05-28	2022-05-28	High Moon Studios	Activision	NA	X	NA	NA
Mercenary Kings	218820	Action, Adventure, Indie, RPG	Action, Indie, 2D, Co-op, Pixel Graphics, Platformer, Side Scroller, Local Co-Op, Adventure, Shooter, Crafting, RPG, Split Screen, Retro, Online Co-Op, Local Multiplayer, Shoot 'Em Up, Arcade, Kickstarter, Female Protagonist	2378	70.4	32.02	20	54	26	61.54	2014-12-01	2014-12-18	2022-02-20	Tribute Games Inc.	Tribute Games Inc.	25-Mar-2014	NA	OS:Vista or later Processor: Intel Core™ Duo or faster Video Card: OpenGL 3.0 compliant video card Memory: 2 GB RAM Hard Drive: 300 MB HD space	NA
N++	230270	Action	Precision Platformer, 2D Platformer, Local Co-Op, Local Multiplayer, Action, Difficult, Parkour, Level Editor, Minimalist, Indie, Ninja, Singleplayer, Puzzle-Platformer, Fast-Paced, Colorful, 4 Player Local, Arcade, Family Friendly, Physics, Multiplayer	2828	94	30.18	28	299	33	60.61	2017-01-16	2017-03-09	2019-01-11	Metanet Software Inc.	Metanet Software Inc.	25-Aug-2016	NA	OS: 32-bit Windows VistaProcessor: Core i3 \/ AMD A6 2.4GhzMemory: 2 GB RAMGraphics: 512MB VRAM NVIDIA GeForce 8xxx series \/ ATI Radeon HD 3xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it. 	OS: 64-bit Windows 7Processor: Core i5 \/ AMD FX 2.4GhzMemory: 4 GB RAMGraphics: 1024MB VRAM NVIDIA GeForce GTX 4xx series \/ ATI Radeon HD 5xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it.
Dead Island	91310	Action, RPG	NA	15328	86.7	28.07	18	49	48	50	2014-04-17	2015-05-15	2015-05-15	Techland	Deep Silver	NA	X	NA	NA
Wasteland 2	240760	Adventure, Indie, RPG, Strategy	RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Adventure, Isometric, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG	7987	82.4	27.73	41	101	46	0	NA	NA	2016-04-04	inXile Entertainment	inXile Entertainment	18-Sep-2014	NA	OS: Windows XP\/Vista\/7\/8\/8.1\/10 (64 bit)Processor: Intel Core 2 Duo or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 260 or Radeon HD 4850 (512 MB VRAM)DirectX: Version 9.0cStorage: 30 GB available spaceSound Card: DirectX compatible sound card 	OS: Windows 7\/8\/8.1\/10 (64 bit)Processor: Intel i5 series or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 460 or Radeon HD 5770 (1 GB VRAM)DirectX: Version 10Storage: 30 GB available spaceSound Card: DirectX compatible sound card
Resident Evil 4 (2005)	254700	Action, Adventure	Inventory Management, Survival Horror, Action, Zombies, Horror, Third-Person Shooter, Singleplayer, Adventure, Classic, Third Person, Quick-Time Events, Atmospheric, Survival, Shooter, Gore, Replay Value, Remake, Great Soundtrack, Difficult, VR	65648	92.8	27.5	16	58	12	100	2015-09-14	2022-05-05	2022-05-05	Capcom	Capcom	27-Feb-2014	NA	OS: Windows® 8 \/ Windows® 10Processor: Intel® Core™ 2 Duo 2.4 Ghz or better, AMD Athlon™ X2 2.8 Ghz or betterMemory: 2 GB RAMGraphics: NVIDIA® GeForce® 8800GTS or better, ATI Radeon™ HD 4850 or betterDirectX: Version 9.0cStorage: 15 GB available spaceSound Card: Standard audio device 	OS: Windows 8.1 \/ Windows® 10Processor: Intel® Core™ 2 Quad 2.7 Ghz or better, AMD Phenom™ II X4 3 Ghz or betterMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 560 or betterDirectX: Version 9.0cStorage: 15 GB available space
Unepic	233980	Action, Indie, RPG	RPG, Indie, Metroidvania, Platformer, Action, Comedy, 2D, Exploration, Fantasy, Adventure, Co-op, Singleplayer, Multiplayer, Funny, Side Scroller, Pixel Graphics, Retro, Magic, Epic, Online Co-Op	7694	91.8	27.05	19	41	57	22.81	2015-01-24	2015-02-07	2017-02-13	@unepic_fran	@unepic_fran	25-Jul-2014	NA	OS:Windows XP Processor:Dual Core Memory:4 GB GB RAM Graphics:256mb, Compatible with OpenGL DirectX®:7.0 Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first. Recomended:OS:Windows XP or later Processor:Quad Core Memory:8GB Graphics:Nvidia Geforce 512GB or more DirectX®:7.0 or later Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first.	NA
Plants vs. Zombies: Game of the Year	3590	Strategy	Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Classic, Great Soundtrack, Family Friendly, Funny, Puzzle, Addictive, Cute, Survival, Indie, Tactical, Touch-Friendly, Adventure, Post-apocalyptic	107499	97.5	25.73	8	43	21	57.14	2015-06-16	2022-02-07	2022-02-12	PopCap Games, Inc.	PopCap Games, Inc., Electronic Arts	05-May-2009	NA	OS: Windows XP\/Vista\/7                     Processor: 1.2GHz+ processor                     Memory: 1GB of RAM                     Graphics: 128MB of video memory, 16-bit or 32-bit color quality                     DirectX: DirectX 8 or later                     Hard Drive: 65+MB of free hard drive space                     Sound: DirectX-compatible sound                    	NA
Mark of the Ninja	214560	Action, Adventure, Indie	Stealth, Platformer, Ninja, Indie, 2D, Action, Singleplayer, Side Scroller, Adventure, Assassin, Atmospheric, Controller, Replay Value, Cartoon, Puzzle, Dark, Short, Story Rich, Strategy, Casual	15733	97	25.4	8	21	38	100	2015-05-24	2015-10-27	2015-10-27	Klei Entertainment	Microsoft Studios	NA	X	OS:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:AMD Phenom 9750 or Pentium D 800+ Memory:2 GB RAM Graphics:NVIDIA® GeForce® 7800 GT or ATI Radeon™ HD 3000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers 	OS:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory:2 GB RAM Graphics:NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers
The Whispered World Special Edition	268540	Adventure, Indie	Adventure, Point & Click, Indie, Singleplayer, Puzzle, Story Rich, Fantasy, Atmospheric, Great Soundtrack, Escape Room, Comedy, Hand-drawn, Funny, 2D	1766	75.9	25.33	10	12	20	100	2014-06-24	2014-08-02	2014-08-02	Daedalic Entertainment	Daedalic Entertainment	06-May-2014	NA	OS: Windows Vista\/7Processor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 1 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible 	OS: Windows Vista\/7\/8-32bitProcessor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 512 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible
Orcs Must Die! 2	201790	Action, Adventure, Indie, RPG, Strategy	Tower Defense, Co-op, Action, Strategy, Online Co-Op, Indie, RPG, Third Person, Adventure, Multiplayer, Third-Person Shooter, Comedy, Singleplayer, Cartoony, Shooter, Fantasy, Female Protagonist, Controller, Funny, Great Soundtrack	18466	93.6	22.95	8	42	27	62.96	2014-05-11	2017-06-21	2021-12-26	Robot Entertainment	Robot Entertainment	30-Jul-2012	NA	OS:Windows XP, Windows Vista, Windows 7 Processor:2GHz Dual Core Memory:2 GB RAM Graphics:NVIDIA GeForce 6800 or ATI Radeon x1950 or better with 256MB VRAM DirectX®:9.0c Hard Drive:9 GB HD space Additional:Broadband Internet connection recommended for co-op play. 	Other Requirements:Broadband Internet connection Additional:Broadband Internet connection recommended for co-op play.
Dust: An Elysian Tail	236090	Action, Adventure, Indie, RPG	Action, Platformer, Metroidvania, Indie, RPG, Adventure, 2D, Singleplayer, Fantasy, Great Soundtrack, Beat 'em up, Hack and Slash, Exploration, Story Rich, Controller, Beautiful, Side Scroller, Anime, Action RPG, Atmospheric	17935	95.5	22.83	10	18	30	100	2014-02-20	2016-09-19	2016-09-19	Humble Hearts LLC	Xbox Game Studios	24-May-2013	NA	OS: Windows Vista Processor: Intel Core 2 Duo 2.8Ghz or equivalent Memory: 1 GB RAM Graphics: DirectX 10 compatible video card with shader model 3.0 support Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Keyboard OS: Windows 7 Processor: Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory: 2 GB RAM Graphics: NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Mouse and Keyboard or XInput-compatible Gamepad	NA
DRAGON BALL XENOVERSE	323470	Action	Anime, Fighting, Action, Character Customization, Multiplayer, Co-op, Adventure, Singleplayer, RPG, Online Co-Op, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op	17959	89.3	22.72	17	89	50	44	2015-04-05	2016-06-07	2022-04-24	DIMPS	BANDAI NAMCO Entertainment	26-Feb-2015	NA	OS: Windows Vista (x64) \/ Windows 7 (x64)Processor: Intel Core 2 Duo 2.4Ghz \/ AMD Athlon 64 X2 5200+, 2.6GHzMemory: 2 GB RAMGraphics: 512 MB Nvidia GeForce 8800 \/ ATI Radeon HD 3870DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space 	OS: Windows Vista (x64) \/ Windows 7 (x64) \/ Windows 8 (x64)Processor: Intel Core i3-530, 2.93 GHz \/ AMD Phenom II X4 940, 3.0GHzMemory: 4 GB RAMGraphics: 1 GB Nvidia GeForce GTX 550Ti  \/ AMD Radeon HD 6790DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space
METAL SLUG	366250	Action	Action, Arcade, 2D, Retro, Shoot 'Em Up, Co-op, Classic, Multiplayer, Side Scroller, Local Multiplayer, Shooter, Pixel Graphics, Local Co-Op, Funny, Platformer, Singleplayer, Fast-Paced, Adventure, Cartoony, Great Soundtrack	3313	89	22.1	1	2	15	100	2015-08-08	2022-01-12	2022-01-12	Dotemu	SNK CORPORATION	25-Jun-2015	NA	OS: Windows Vista, 7, 8Processor: Pentium 4 2.4GhzMemory: 1 GB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0cStorage: 500 MB available space 	OS: Windows Vista, 7, 8Processor: 2 GHz Dual CoreMemory: 2 GB RAMGraphics: NVIDIA GeForce GT 640DirectX: Version 9.0cStorage: 500 MB available space
Sonic Generations	71340	Action	Platformer, Great Soundtrack, Action, Fast-Paced, 3D Platformer, Singleplayer, 2D, Moddable, Adventure, Family Friendly, Classic, Colorful, Retro, Time Travel, 3D, Controller, Third Person, Replay Value, 3D Vision, Funny	21608	93.3	21.65	6	24	49	100	2015-06-20	2017-06-29	2017-06-29	Devil's Details	SEGA	03-Nov-2011	NA	OS: Microsoft Windows 7\/Vista\/XP Processor: Intel Pentium Dual-Core T4200 (2x2.0GHz) or AMD equivalent Memory: 2GB RAM (XP)\/3GB RAM (Windows 7 \/ Vista) Graphics: NVIDIA GeForce 8800 (512MB) \/ ATI Radeon HD 2900 (512MB) DirectX®:  Hard Drive: 11 GB free hard drive space Sound:   	OS: Microsoft Windows 7 Processor: Intel Core i5 @ 2.66 GHz \/ AMD Phenom II X4 @ 3.0 GHz Memory: 3GB RAM Graphics: NVIDIA GeForce GTX 460 (1GB) \/ ATI Radeon HD 5850 (1GB) DirectX®:  Hard Drive: 11 GB free hard drive space Sound: 
Dead Rising 3	265550	Action	Zombies, Action, Open World, Co-op, Gore, Survival, Comedy, Open World Survival Craft, Multiplayer, Third Person, Funny, Crafting, Adventure, Online Co-Op, Sandbox, Horror, Singleplayer, Atmospheric, Survival Horror, RPG	16480	75.4	21.32	14	46	88	45.45	2015-06-25	2022-04-08	2022-08-31	Capcom Game Studio Vancouver	Capcom	05-Sep-2014	NA	OS: Windows 7 64-bit edition, Windows 8 64-bit editionProcessor: Intel Core i3-3220 @ 3.30GHz (or Intel Core 2 Quad Q9550 @ 2.83GHz) \/ AMD Phenom II X4 945 @ 3.00 GHz or higherMemory: 6 GB RAMGraphics: NVIDIA® GeForce® GTX 570 \/ AMD Radeon 7870 or higherDirectX: Version 11Network: Broadband Internet connectionStorage: 30 GB available spaceSound Card: DirectX 11 Compatible sound cardAdditional Notes: Broadband internet connection is required for Co-op play. 	OS: Windows 7 64-bit edition, Windows 8 64-bit editionProcessor: Intel Core i5-4570 CPU @ 3.20GHz or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA® GeForce GTX 670 2GB \/ AMD Radeon 7970 2GBDirectX: Version 11Network: Broadband Internet connectionStorage: 30 GB available spaceSound Card: DirectX 11 Compatible sound cardAdditional Notes: Broadband internet connection is required for Co-op play.  An Xbox 360 Controller for Windows or other Xinput-compatible controller is recommended for this game.
Owlboy	115800	Action, Adventure, Indie	Pixel Graphics, Adventure, Indie, Great Soundtrack, Metroidvania, Platformer, 2D, Story Rich, Atmospheric, Action, Fantasy, Puzzle-Platformer, Singleplayer, Retro, Action-Adventure, Flight, Funny, Cute, Open World, RPG	5465	84.4	20.82	8	13	12	100	2018-05-28	2018-06-09	2018-06-09	D-Pad Studio	D-Pad Studio	01-Nov-2016	NA	OS: Windows 7\/8\/10\/VistaProcessor: Dual CoreMemory: 1 GB RAMGraphics: Pixelshader 3.0 enabled graphics card(DirectX 10 capable graphics card)DirectX: Version 9.0cStorage: 600 MB available space	NA
Darksiders II Deathinitive Edition	388410	Action, Adventure, RPG	Action, Hack and Slash, Adventure, RPG, Open World, Singleplayer, Third Person, Fantasy, Story Rich, Puzzle, Great Soundtrack, Action RPG, Dark Fantasy, Parkour, Loot, Gore, Spectacle fighter, Controller, Multiplayer, Metroidvania	15545	77.8	19.9	20	52	50	0	NA	NA	2016-04-05	Gunfire Games, Vigil Games, THQ Nordic	THQ Nordic	05-Nov-2015	NA	OS: Windows XP, Windows Vista SP1, Windows 7, Windows 8 or Windows 10 (64bit)Processor: 2.0Ghz Intel® Core™2 Duo Processor or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 512 MB Video Card or AMD equivalentDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX compatible Sound card 	OS: Windows 7, Windows 8 or Windows 10 (64bit)Processor: Any Quad-core AMD or Intel ProcessorMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 260 512MB Video Card or AMD equivalentDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX compatible Sound card
Resident Evil 2	883710	Action	Zombies, Survival Horror, Horror, Remake, Singleplayer, Third Person, Gore, Action, Atmospheric, Puzzle, Violent, Story Rich, Survival, Classic, Multiplayer, Female Protagonist, Dark, Adventure, Shooter, Difficult	136912	97.2	19.27	9	35	44	45.45	2019-01-25	2020-03-28	2020-03-28	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	24-Jan-2019	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 460DirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p\/30 FPS. If you have don't have enough graphics memory to run the game at your selected texture quality, you must go to Options &gt; Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480  with 3GB VRAMDirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p\/60 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
Battle vs Chess	211050		Strategy, Chess, Casual, Board Game, Turn-Based Strategy, Turn-Based, Multiplayer	976	71.2	18.45	17	0	NA	NA	NA	NA	2017-08-25			16-Aug-2012	NA	OS:Windows XP SP3 \/ Vista \/ 7 \/ 8 \/ 10 Processor:2.0 GHz Single Core CPU Memory:1 GB RAM Graphics:Graphics card with Shader 3.0 support and 128 MB RAM DirectX®:9.0c Hard Drive:1 GB HD space Sound:Soundcard with 5.1 Support Other Requirements:Broadband Internet connection 	OS:Windows XP SP3 \/ Vista \/ 7 \/ 8 \/ 10 Processor:Intel Core 2 Duo or AMD Athlon 64x2 Memory:2 GB RAM Graphics:Graphics card with Shader 3.0 support and 256 MB RAM DirectX®:9.0c Hard Drive:2 GB HD space Sound:Soundcard with 5.1 Support Other Requirements:Broadband Internet connection
Blasphemous	774361	Action, Adventure, Indie	Metroidvania, Pixel Graphics, Souls-like, Gore, Dark Fantasy, Violent, 2D, Action, Indie, Difficult, Platformer, Adventure, Blood, Horror, Singleplayer, Gothic, Lore-Rich, Great Soundtrack, Side Scroller, Nudity	32745	90.3	18.33	14	28	45	40	2019-12-12	2019-12-16	2021-05-25	The Game Kitchen	Team17	10-Sep-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Intel Core2 Duo E8400 or AMD Phenom II x2 550Memory: 4 GB RAMGraphics: GeForce GTX 260 or Radeon HD 4850Storage: 4 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i5-750 or AMD Phenom II x4 945Memory: 4 GB RAMGraphics: GeForce GTX 650 or Radeon HD 5770Storage: 4 GB available space
Cuphead	268910	Action, Indie	Difficult, Cartoon, Co-op, Platformer, Great Soundtrack, Local Co-Op, 2D, Hand-drawn, Multiplayer, Indie, Retro, Cartoony, Bullet Hell, Action, Shoot 'Em Up, Singleplayer, Side Scroller, Colorful, Funny, Atmospheric	140923	96.5	17.33	10	25	42	66.67	2018-02-03	2018-03-09	2018-03-09	Studio MDHR Entertainment Inc.	Studio MDHR Entertainment Inc.	29-Sep-2017	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core2 Duo E8400, 3.0GHz or AMD Athlon 64 X2 6000+, 3.0GHz or higherMemory: 3 GB RAMGraphics: Geforce 9600 GT or AMD HD 3870 512MB or higherDirectX: Version 11Storage: 4 GB available space 	Requires a 64-bit processor and operating system
Hellblade: Senua's Sacrifice	414340	Action, Adventure, Indie	Atmospheric, Psychological, Female Protagonist, Story Rich, Mythology, Singleplayer, Dark, Adventure, Horror, Third Person, Dark Fantasy, Action, Violent, Indie, Hack and Slash, Walking Simulator, Action-Adventure, Fantasy, Realistic, Blood	56809	91.1	17.3	8	9	14	100	2023-01-13	2023-01-18	2023-01-18	Ninja Theory	Ninja Theory	07-Aug-2017	NA	OS: Windows 7, 8, 10Processor: Intel i5 3570K \/ AMD FX-8350Memory: 8 GB RAMGraphics: GTX 770 with 2GB VRAM \/ Radeon R9 280X 3GBDirectX: Version 11Storage: 30 GB available spaceAdditional Notes: Minimum spec screen resolution: 1280x720	NA
