Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
Terraria	105600	Action, Adventure, Indie, RPG	Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Pixel Graphics, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric	1074669	97.8219340094485	15.3	50	182	NA	Re-Logic	Re-Logic
Revolution Ace	274560	Action, Adventure, Indie	Shoot 'Em Up, Indie, Action, Bullet Hell, Shooter, Arcade, Local Co-Op, Multiplayer, Top-Down, Adventure, Singleplayer, Retro, 2D, Anime, Sci-fi, Great Soundtrack, Difficult, Controller	1918	72.1063607924922	15.2	6	9	NA	Laser Guided Games, LLC	Laser Guided Games, LLC
Teleglitch: Die More Edition	234390	Action, Indie	Action Roguelike, Rogue-like, Indie, Top-Down Shooter, Difficult, Action, Perma Death, Singleplayer, Sci-fi, Rogue-lite, Top-Down, Pixel Graphics, Procedural Generation, Crafting, Survival Horror, Horror, Retro, Survival, Shooter, Atmospheric	2778	85.1331893448524	15.2	5	14	NA	Test3 Projects	Paradox Interactive
Saints Row IV	206420	Action, Adventure	Open World, Action, Comedy, Co-op, Third-Person Shooter, Superhero, Character Customization, Sandbox, Funny, Third Person, Adventure, Online Co-Op, Aliens, Parody , Multiplayer, Great Soundtrack, Singleplayer, Sci-fi, Dark Humor, Female Protagonist	75834	88.7557032465649	15.2	15	36	NA	Deep Silver Volition	Deep Silver
Project Night	333860	Action, Adventure, Indie	Indie, Adventure, Action, Horror, Survival Horror, Psychological Horror	97	25.7731958762887	15.1	3	0	NA	Riccardo Deias	Riccardo Deias
Deponia Doomsday	421050	Adventure, Indie	Adventure, Point & Click, Comedy, Indie, Singleplayer, Story Rich, Puzzle, Time Travel, Funny, 2D, Great Soundtrack, Steampunk, Hand-drawn, Dark Humor, Escape Room, Classic, Cult Classic, Retro	3395	86.3328424153166	15.1	11	14	NA	Daedalic Entertainment	Daedalic Entertainment
Saviors	314450	Action, Indie, Strategy	Shoot 'Em Up, Bullet Hell, Action, Indie, Space, Great Soundtrack, Arcade, Strategy, 2D, Sci-fi, Singleplayer, Difficult, Shooter, Retro, Anime, Sandbox, Local Co-Op, Atmospheric, Gore, Story Rich	1672	82.2966507177033	15.1	2	6	NA	Sharpened Edge Studios	
Tropico 4	57690	Simulation, Strategy	City Builder, Simulation, Strategy, Management, Comedy, Sandbox, Singleplayer, Great Soundtrack, Economy, Real-Time with Pause, Politics, Building, Resource Management, Political, Funny, Cold War, RTS, Atmospheric, God Game, Capitalism	11774	91.7190419568541	15.0	40	103	NA	Haemimont Games	Kalypso Media Digital
Mortal Kombat X	307780	Action	Fighting, Gore, Action, Violent, Multiplayer, Blood, Mature, Local Multiplayer, 2D Fighter, Competitive, Atmospheric, Singleplayer, Arcade, Great Soundtrack, 2.5D, Online Co-Op, Fantasy, Third Person, Horror, Female Protagonist	48220	83.492326835338	15.0	6	50	NA	NetherRealm Studios, QLOC	Warner Bros. Interactive Entertainment
Bastion	107100	Action, Indie, RPG	Great Soundtrack, Indie, Action, Narration, Singleplayer, RPG, Hack and Slash, Story Rich, Dynamic Narration, Isometric, Adventure, Action RPG, Fantasy, Atmospheric, Colorful, Post-apocalyptic, 2D, Music, Twin Stick Shooter, Controller	35519	95.5798305132464	14.9	6	20	NA	Supergiant Games	Supergiant Games
Antichamber	219890	Adventure, Indie	Puzzle, First-Person, Indie, Surreal, Exploration, Singleplayer, Abstract, Nonlinear, Adventure, Difficult, Minimalist, Atmospheric, Psychedelic, Psychological, Colorful, Great Soundtrack, Metroidvania, Replay Value, Sci-fi, Platformer	15817	95.1128532591515	14.9	6	9	NA	Alexander Bruce	Demruth
MURDERED: SOUL SUSPECT™	233290	Action, Adventure, RPG	Detective, Adventure, Mystery, Supernatural, Horror, Atmospheric, Singleplayer, Action, Crime, Story Rich, Third Person, Noir, Puzzle, Open World, RPG, Stealth, Dark, Walking Simulator, Point & Click, Short	15124	85.3147315524993	14.9	7	11	NA	Airtight Games	Square Enix
Poof	243280	Action, Indie, Strategy	Indie, Action, Strategy, Platformer, Tower Defense	226	76.1061946902655	14.8	0	9	NA	Arkedo	Neko Entertainment
Jotun: Valhalla Edition	323580	Action, Adventure, Indie	Adventure, Mythology, Action, Indie, Female Protagonist, Hand-drawn, Difficult, Singleplayer, Atmospheric, Exploration, Great Soundtrack, 2D, Isometric, Fantasy, Vikings, Kickstarter, Controller, Story Rich, Souls-like, RPG	8111	77.7585994328689	14.7	5	7	NA	Thunder Lotus Games	Thunder Lotus Games
NotTheNameWeWanted	369580	Casual	Memes, Parody , Funny, Singleplayer, Satire, Indie, Comedy, Gore, Horror, Action, Open World, Difficult, Mature, Dating Sim, Multiplayer, Hand-drawn, Story Rich, Adventure	2655	87.1563088512241	14.7	1	5	NA	NotGames	NotGames
Clickr	45500	Casual, Indie	Indie, Puzzle, Casual, Multiplayer, Fast-Paced, Clicker	502	80.0796812749004	14.6	4	0	NA	Ntreev Soft Co., Ltd.	Zero Rock Entertainment
The Night of the Rabbit	230820	Adventure, Indie	Adventure, Point & Click, Indie, Fantasy, Singleplayer, Story Rich, Cult Classic, Puzzle, Classic, Retro, Atmospheric, 1990's, Great Soundtrack, Escape Room, Remake, Hand-drawn, Third Person, 2D	2844	89.662447257384	14.6	10	15	NA	Daedalic Entertainment	Daedalic Entertainment
Wasteland 2: Director's Cut	404730	Adventure, Indie, RPG, Strategy	NA	0	NA	14.5	41	104	NA	inXile Entertainment	inXile Entertainment
