Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Bright Memory: Infinite	92.6	6.55	2	FYQD-Studio	11-Nov-2021
A Hat in Time	98	6.52	9	Gears for Breakfast	05-Oct-2017
The Mean Greens - Plastic Warfare	81.8	6.52	3	Virtual Basement LLC, Code Headquarters LLC	08-Dec-2015
Aerena	NA	6.48	No time registered yet		NA
The Escapists	90.2	6.47	20	Mouldy Toof Studios	13-Feb-2015
Mother Russia Bleeds	87	6.47	4	Le Cartel Studio	05-Sep-2016
Baldur's Gate II: Enhanced Edition	91.5	6.45	47	Beamdog	15-Nov-2013
The Sexy Brutale	92.8	6.45	6	Cavalier Game Studios, Tequila Works	11-Apr-2017
Okhlos: Omega	77.3	6.43	4	Coffee Powered Machine	18-Aug-2016
Pony Island	95.3	6.43	2	Daniel Mullins Games	04-Jan-2016
Rising Storm/Red Orchestra 2 Multiplayer	92.4	6.4	NA	Tripwire Interactive	13-Sep-2011
Bulb Boy	89.4	6.4	2	Bulbware	29-Oct-2015
Saw	NA	6.37	NA	Zombie Studios	NA
Teenage Mutant Ninja Turtles: Portal Power	63.6	6.33	No time registered yet	Nickelodeon	14-Dec-2017
Town of Night	47.8	6.32	No time registered yet	Delusional Games	17-Nov-2016
Immortal Redneck	91.2	6.32	18	Crema	25-Apr-2017
Holy Potatoes! We’re in Space?!	66.7	6.3	11	Daylight Studios	14-Feb-2017
Belladonna	72.4	6.23	1	Neckbolt	27-Feb-2015
DungeonUp	83.2	6.23	7	Clewcat Games	04-Sep-2015
The Evil Within	85.1	6.22	15	Tango Gameworks	13-Oct-2014
My Time At Portia	92.4	6.22	70	Pathea Games	15-Jan-2019
Mark of the Ninja: Remastered	96.3	6.18	8	Klei Entertainment	09-Oct-2018
Tacoma	86.1	6.18	3	Fullbright	01-Aug-2017
Sacred 3	26.4	6.18	9	Keen Games	31-Jul-2014
Epistory - Typing Chronicles	94.9	6.15	5	Fishing Cactus	30-Mar-2016
Warframe	86.4	6.13	111	Digital Extremes	25-Mar-2013
Super Rude Bear Resurrection	60.5	6.12	4	Alex Rose	05-May-2017
Bacteria	57.7	6.1	0	Sometimes You	23-Mar-2016
Beholder	91.6	6.08	6	Warm Lamp Games	09-Nov-2016
Dinosaur Hunt	66.6	6.07	0	Racing Bros	17-Sep-2015
Warhammer 40,000: Space Marine - Anniversary Edition	91.9	6.05	8	Relic Entertainment	05-Sep-2011
Red Comrades Save the Galaxy: Reloaded	93.5	6.03	7	Buka Development	18-Feb-2016
Grey Goo	68.3	6	14	Petroglyph, Six Foot	23-Jan-2015
Steampunk Syndicate	57.9	6	15	Stereo7 Games	13-Apr-2017
Move or Die	90	5.98	13	Those Awesome Guys	21-Jan-2016
BlazBlue: Chronophantasma Extend	91.1	5.98	NA	Arc System Works	02-Mar-2016
Interplanetary	78.7	5.97	4	Team Jolly Roger	12-May-2015
Dungeon of the ENDLESS™	87.5	5.95	8	AMPLITUDE Studios	27-Oct-2014
RUINER	90	5.95	5	Reikon Games	26-Sep-2017
Dead Rising 2: Off the Record	79	5.93	13	Capcom Vancouver	11-Oct-2011
Risen	88.7	5.92	28	Piranha Bytes, THQ Nordic	02-Oct-2009
Toren	63.7	5.92	2	Swordtales	11-May-2015
The Big Secret of a Small Town	65.8	5.9	4	Flenx	22-Oct-2015
Overcooked	90.8	5.9	8	Ghost Town Games Ltd.	03-Aug-2016
Love is Dead	62.6	5.9	0	Curiobot	31-May-2018
Shenmue I & II	88.6	5.9	37	D3T	21-Aug-2018
TRON: Evolution	61.5	5.88	7	GameStar	NA
ABZÛ	92.9	5.88	2	Giant Squid	02-Aug-2016
Guacamelee! 2	91	5.88	9	DrinkBox Studios	21-Aug-2018
Baldur's Gate: Enhanced Edition	91.5	5.83	30	Beamdog	16-Jan-2013
Lethal League	94.2	5.83	7	Team Reptile	27-Aug-2014
Mr Shifty	88.2	5.83	4	Team Shifty	13-Apr-2017
God's Trigger	73.9	5.82	5	One More Level	18-Apr-2019
Game Corp DX	87.8	5.8	4	Endless Loop Studios	02-Oct-2015
Serial Cleaner	86.3	5.8	5	Draw Distance	14-Jul-2017
11-11 Memories Retold	86.1	5.8	5	Aardman Animations, Digixart	08-Nov-2018
Ultimate Chicken Horse	96	5.78	5	Clever Endeavour Games	04-Mar-2016
