Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
MOTHERGUNSHIP	77.4	7	4	Grip Digital, Terrible Posture Games	17-Jul-2018
Abyss: The Wraiths of Eden	90.5	7	3	Artifex Mundi	03-Apr-2014
Vanquish	89	6.9	6	PlatinumGames, Little Stone Software	25-May-2017
1Quest	53.6	6.9	2	Ratz 'N' Godz, Storybird Games	03-Dec-2014
99 Levels To Hell	62	6.9	7	Zaxis Games, B-evil	19-Feb-2014
A Valley Without Wind	59.2	6.9	13	Arcen Games, LLC	24-Apr-2012
Football Manager 2018	66.2	6.9	213	Sports Interactive	NA
LEGO® Pirates of the Caribbean The Video Game	91.1	6.9	8	Traveller's Tales	06-Oct-2014
Gang Beasts	82	6.9	2	Boneloaf, Coatsink	12-Dec-2017
Albedo: Eyes from Outer Space	52.8	6.9	5	Z4G0 and Ivan Venturi Productions	10-Apr-2015
Tales of Symphonia	85.7	6.8	47	BANDAI NAMCO Entertainment Inc.	01-Feb-2016
SYNTHETIK	94.6	6.8	No time registered yet	Flow Fire Games	15-Mar-2018
Adventurezator: When Pigs Fly	70.6	6.8	No time registered yet	Pigasus Games	17-Sep-2015
F1 2015	63	6.8	13	Codemasters, Feral Interactive (Linux)	09-Jul-2015
Epic Battle Fantasy 4	96.7	6.8	20	Matt Roszak	25-Feb-2014
Streets of Rage 4	92.5	6.7	3	Dotemu, Guard Crush, Lizardcube	30-Apr-2020
Battleborn	61.7	6.7	9	Gearbox Software	03-May-2016
Dungeons 2	81.3	6.7	15	Realmforge Studios	24-Apr-2015
Shantae and the Pirate's Curse	93.5	6.7	8	WayForward	23-Apr-2015
Dead Rising 4	55.8	6.7	10	Capcom Game Studio Vancouver, Inc.	14-Mar-2017
Seasons after Fall	80.8	6.7	6	Swing Swing Submarine	02-Sep-2016
Bayonetta	92.3	6.7	11	PlatinumGames	11-Apr-2017
Kerbal Space Program	94.8	6.6	116	Squad	27-Apr-2015
NeuroVoider	77.5	6.6	5	Flying Oak Games	31-Aug-2016
Umbrella Corps	29.2	6.6	4	CAPCOM	21-Jun-2016
The Mean Greens - Plastic Warfare	81.7	6.5	3	Virtual Basement LLC, Code Headquarters LLC	08-Dec-2015
A Hat in Time	98	6.5	9	Gears for Breakfast	05-Oct-2017
Aerena	NA	6.5	No time registered yet		NA
Mother Russia Bleeds	87	6.5	4	Le Cartel Studio	05-Sep-2016
The Escapists	90.1	6.5	20	Mouldy Toof Studios	13-Feb-2015
Baldur's Gate II: Enhanced Edition	91.4	6.5	47	Beamdog	15-Nov-2013
The Sexy Brutale	92.8	6.5	6	Cavalier Game Studios, Tequila Works	11-Apr-2017
Pony Island	95.4	6.4	2	Daniel Mullins Games	04-Jan-2016
Okhlos: Omega	77.5	6.4	4	Coffee Powered Machine	18-Aug-2016
Rising Storm/Red Orchestra 2 Multiplayer	92.4	6.4	7	Tripwire Interactive	13-Sep-2011
Bulb Boy	89.3	6.4	2	Bulbware	29-Oct-2015
Saw	NA	6.4	NA	Zombie Studios	NA
Teenage Mutant Ninja Turtles: Portal Power	63.5	6.3	No time registered yet	Nickelodeon	14-Dec-2017
Immortal Redneck	91.2	6.3	17	Crema	25-Apr-2017
Town of Night	47.4	6.3	No time registered yet	Delusional Games	17-Nov-2016
Holy Potatoes! We’re in Space?!	66.6	6.3	12	Daylight Studios	14-Feb-2017
Belladonna	72.1	6.2	1	Neckbolt	27-Feb-2015
DungeonUp	83	6.2	7	Clewcat Games	04-Sep-2015
My Time At Portia	92.5	6.2	69	Pathea Games	15-Jan-2019
The Evil Within	85	6.2	15	Tango Gameworks	13-Oct-2014
Mark of the Ninja: Remastered	96.4	6.2	8	Klei Entertainment	09-Oct-2018
Sacred 3	26.3	6.2	8	Keen Games	31-Jul-2014
Tacoma	86	6.2	3	Fullbright	01-Aug-2017
Epistory - Typing Chronicles	95	6.2	5	Fishing Cactus	30-Mar-2016
Warframe	86.6	6.1	107	Digital Extremes	25-Mar-2013
Super Rude Bear Resurrection	60.9	6.1	4	Alex Rose	05-May-2017
Bacteria	57.6	6.1	0	Sometimes You	23-Mar-2016
Beholder	91.6	6.1	6	Warm Lamp Games	09-Nov-2016
Dinosaur Hunt	66.5	6.1	0	Racing Bros	17-Sep-2015
Warhammer 40,000: Space Marine - Anniversary Edition	91.9	6.1	8	Relic Entertainment	05-Sep-2011
Red Comrades Save the Galaxy: Reloaded	93.3	6	7	Buka Development	18-Feb-2016
Steampunk Syndicate	57.9	6	15	Stereo7 Games	13-Apr-2017
Grey Goo	68.3	6	14	Petroglyph, Six Foot	23-Jan-2015
Move or Die	90.1	6	13	Those Awesome Guys	21-Jan-2016
BlazBlue: Chronophantasma Extend	91.2	6	NA	Arc System Works	02-Mar-2016
Interplanetary	78.9	6	4	Team Jolly Roger	12-May-2015
Dungeon of the ENDLESS™	87.6	6	8	AMPLITUDE Studios	27-Oct-2014
RUINER	90.1	6	5	Reikon Games	26-Sep-2017
Dead Rising 2: Off the Record	79.1	5.9	13	Capcom Vancouver	11-Oct-2011
Toren	63.9	5.9	2	Swordtales	11-May-2015
Risen	88.6	5.9	28	Piranha Bytes, THQ Nordic	02-Oct-2009
The Big Secret of a Small Town	65.5	5.9	4	Flenx	22-Oct-2015
Shenmue I & II	88.3	5.9	38	D3T	21-Aug-2018
Overcooked	90.8	5.9	8	Ghost Town Games Ltd.	03-Aug-2016
Love is Dead	62.1	5.9	0	Curiobot	31-May-2018
TRON: Evolution	61.5	5.9	7	GameStar	NA
Guacamelee! 2	91.1	5.9	9	DrinkBox Studios	21-Aug-2018
ABZÛ	93	5.9	2	Giant Squid	02-Aug-2016
Baldur's Gate: Enhanced Edition	91.4	5.8	30	Beamdog	16-Jan-2013
Lethal League	94.2	5.8	7	Team Reptile	27-Aug-2014
Mr Shifty	88.2	5.8	4	Team Shifty	13-Apr-2017
God's Trigger	74.3	5.8	5	One More Level	18-Apr-2019
Game Corp DX	87.8	5.8	4	Endless Loop Studios	02-Oct-2015
11-11 Memories Retold	86	5.8	5	Aardman Animations, Digixart	08-Nov-2018
Serial Cleaner	86.3	5.8	5	Draw Distance	14-Jul-2017
Yakuza Kiwami	93.3	5.8	18	Ryu Ga Gotoku Studio	19-Feb-2019
Katamari Damacy REROLL	93	5.8	5	MONKEYCRAFT Co. Ltd.	06-Dec-2018
Ultimate Chicken Horse	96.3	5.8	5	Clever Endeavour Games	04-Mar-2016
Galactic Civilizations III	76.5	5.8	23	Stardock Entertainment	14-May-2015
The Banner Saga 2	89.8	5.8	11	Stoic	19-Apr-2016
Crawl	94.8	5.8	1	Powerhoof	11-Apr-2017
Slain: Back from Hell	71.9	5.7	6	Steel Mantis	24-Mar-2016
Armello	81.9	5.7	2	League of Geeks	01-Sep-2015
HITMAN™	83	5.7	11	IO Interactive A\/S, Feral Interactive (Linux), Feral Interactive (Mac)	11-Mar-2016
Shank 2	81.9	5.7	4	Klei Entertainment	07-Feb-2012
Ori and the Blind Forest	95.4	5.7	8	Moon Studios GmbH	10-Mar-2015
Iron Sky Invasion	58.6	5.7	6	Reality Pump	13-Dec-2012
Guilty Gear Isuka	52.6	5.7	2	Arc System Works	16-Jan-2014
Radical Spectrum: Volume 1	53.7	5.7	No time registered yet	Autonomic Interactive	08-Jul-2016
