Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
The Escapists 2	90.3	1.8	16	Team17, Mouldy Toof Studios	21-Aug-2017
Free to Play	95.1	1.8	1	Valve	19-Mar-2014
Burnout Paradise: The Ultimate Box	87.1	1.8	11	Criterion Games	12-Mar-2009
Sanctum 2	90	1.7	12	Coffee Stain Studios	15-May-2013
Worms Clan Wars	78.3	1.7	8	Team17 Digital Ltd	15-Aug-2013
Overcooked! 2	90.5	1.7	7	Ghost Town Games Ltd., Team17	07-Aug-2018
Rabbit Hole 3D: Steam Edition	63.3	1.7	0	Somi	25-Apr-2014
The Novelist	74.7	1.7	2	Orthogonal Games	10-Dec-2013
PAC-MAN™ CHAMPIONSHIP EDITION 2	69.2	1.7	5	BANDAI NAMCO Studios Inc.	13-Sep-2016
Doorways: Prelude	62.1	1.7	No time registered yet	Saibot Studios	20-Sep-2013
BIT.TRIP BEAT	80.4	1.7	3	Gaijin Games	02-Nov-2010
Rush Bros	61	1.7	3	XYLA Entertainment	24-May-2013
gravilon	60.5	1.7	1		30-Mar-2015
Save me Mr Tako: Tasukete Tako-San	57.7	1.7	16	Christophe Galati, Nicalis, Inc.	30-Oct-2018
Stranded In Time	78.5	1.7	2	DQ Team, Hidden Hallow Studio	17-Jul-2015
GEARCRACK Arena	55.1	1.7	0	Walter Machado	NA
Mashed	79	1.7	0	Supersonic Software	24-Apr-2014
Gone Home	76.8	1.7	2	Fullbright	15-Aug-2013
Valdis Story: Abyssal City	84.3	1.6	11	Endlessfluff Games	30-Oct-2013
Fable III	NA	1.6	13		NA
Lilly and Sasha: Curse of the Immortals	80.3	1.6	No time registered yet	John Wizard	28-Apr-2015
Carnage Racing	63.3	1.6	No time registered yet		NA
Batman: Arkham Asylum GOTY Edition	96.4	1.6	11	Rocksteady Studios	26-Mar-2010
Memories of a Vagabond	80.5	1.6	3	Darkelite Studio Inc	07-Jul-2014
Swipecart	45.5	1.6	0	Micro Factory Games	08-May-2014
Polarity	79.9	1.6	1	Bluebutton Games	15-Jul-2016
Ultimate General: Gettysburg	81.1	1.6	6	Game-Labs	16-Oct-2014
Among the Sleep	87.8	1.6	2	Krillbite Studio	29-May-2014
Total War: EMPIRE - Definitive Edition	91	1.6	44	CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)	04-Mar-2009
Platypus II	61.1	1.6	3	Idigicon	15-Aug-2014
Remember Me	83.2	1.6	10	DONTNOD Entertainment	06-Jun-2013
Volgarr the Viking	81.3	1.6	9	Crazy Viking Studios	13-Sep-2013
Robot Rescue Revolution	68.4	1.6	No time registered yet	Teyon	11-Jul-2014
Penguins Arena: Sedna's World	89.5	1.6	1	Frogames	18-Dec-2008
Enclave	79.3	1.6	8	Starbreeze	04-Oct-2013
Waveform	83	1.6	6	Eden Industries	20-Mar-2012
Kingdom Wars	67.6	1.6	No time registered yet	Reverie World Studios	01-Apr-2013
The Incredible Adventures of Van Helsing	83.1	1.6	13	NeocoreGames	22-May-2013
Make it indie!	46.2	1.6	0	Sometimes You	01-Apr-2015
One Night	40.2	1.6	3	Rinat Mirzasalikhov	NA
Hero of the Kingdom	93.4	1.6	3	Lonely Troops	14-Nov-2013
Sang-Froid - Tales of Werewolves	87.7	1.6	9	Artifice Studio	05-Apr-2013
Oddworld: Abe's Oddysee	85.6	1.6	13	Oddworld Inhabitants	28-Aug-2008
Paranautical Activity: Deluxe Atonement Edition	68.6	1.6	4	Digerati Distribution	20-Oct-2014
FLY'N	86.4	1.6	9	Ankama Games	09-Nov-2012
No Time to Explain	69.5	1.6	2	tinyBuild	NA
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad	95.2	1.6	2	marbenx	02-Sep-2015
Closure	85.7	1.6	6	Eyebrow Interactive	07-Sep-2012
Back to Bed	81	1.6	1	Bedtime Digital Games	06-Aug-2014
Knights and Merchants	84.2	1.6	47	Topware Interactive	14-Oct-2013
One Way Heroics	94.2	1.6	2	Smoking WOLF	28-Feb-2014
Battleplan: American Civil War	48.1	1.6	8	The Mustard Corporation	04-Jul-2014
Sinister City	66	1.6	2	Jetdogs Studios	20-Oct-2014
Squishy the Suicidal Pig	84	1.6	8	Tomi Maarela, Elias Viglione	23-Oct-2014
Jazzpunk: Director's Cut	92.8	1.6	2	Necrophone Games	07-Feb-2014
Defy Gravity	86	1.6	2	Paul Fisch	18-Mar-2016
Football Manager 2013	NA	1.6	289	Sports Interactive	NA
Element4l	83.4	1.6	5	I-Illusions	24-May-2013
Save Room - Organization Puzzle	97.7	1.6	1	Fractal Projects	28-Apr-2022
The Marvellous Miss Take	81.7	1.6	6	Wonderstruck	20-Nov-2014
Deus Ex: The Fall	35.3	1.6	4		17-Mar-2014
The Swapper	94.6	1.6	5	Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano	30-May-2013
Aviator - Bush Pilot	18.1	1.6	2	Netmin Games	04-Nov-2014
ReignMaker	62	1.6	0	Frogdice	16-Apr-2014
Kill The Bad Guy	62.3	1.6	5	Exkee	28-May-2014
Rooms: The Main Building	83.2	1.6	3	HandMade Game	11-Jul-2014
Marvel vs. Capcom: Infinite	62.8	1.6	4	Capcom	19-Sep-2017
Deadlight	78.9	1.6	4	Tequila Works, S.L.	25-Oct-2012
Soundodger+	90.2	1.6	2	Studio Bean	11-Oct-2013
AoF Chess Club 2.0	28.3	1.6	No time registered yet	none	04-Nov-2015
Race The Sun	93.7	1.6	5	Flippfly LLC	09-Dec-2013
The Binding of Isaac	95.3	1.6	11	Edmund McMillen, Florian Himsl	28-Sep-2011
Lilly Looking Through	75.3	1.6	2	Geeta Games	01-Nov-2013
Toki Tori 2+	84.9	1.6	9	Two Tribes	11-Jul-2013
Gun Monkeys	54.6	1.6	0	Size Five Games	NA
Crystals of Time	65	1.6	3	RVL Games, exosyphen studios	13-Jun-2014
Keep Talking and Nobody Explodes	97.8	1.6	5	Steel Crate Games	08-Oct-2015
Beatbuddy: Tale of the Guardians	76.5	1.6	5	Threaks	06-Aug-2013
DISTRAINT: Deluxe Edition	93.3	1.6	2	Jesse Makkonen	21-Oct-2015
Card City Nights	88.7	1.5	10	Ludosity	14-Feb-2014
Dominique Pamplemousse	76	1.5	1	Squinkifer Productions	11-Mar-2014
Zup! F	97.3	1.5	1	Quiet River	11-Dec-2019
Boson X	92.6	1.5	3	Ian MacLarty, Jon Kerney	15-Sep-2014
Commando Jack	50.6	1.5	3	Colossal Games	22-Aug-2014
Major Mayhem	83.3	1.5	3	Rocket Jump	24-Feb-2014
Strike Suit Infinity	83.6	1.5	6	Born Ready Games Ltd.	30-Apr-2013
Ukrainian Ninja	75.8	1.5	2	Michael Kissinger, Marco Hulden, Shaun Egan, Joshua Marks, Denys Ovsiannykov	23-Dec-2014
Syberia	88.7	1.5	10	Microids	19-May-2011
PARTICLE MACE	87.9	1.5	3	Andy Wallace	22-Jan-2015
LUFTRAUSERS	91.4	1.5	4	Vlambeer	18-Mar-2014
Purgatory	60.8	1.5	3	Eduard Mirica	22-Jun-2016
FORCED	73.9	1.5	7	BetaDwarf	24-Oct-2013
Far Cry® 3 Blood Dragon	88.7	1.5	4	Ubisoft Montreal	01-May-2013
Nova-111	77.8	1.5	6	Funktronic Labs	25-Aug-2015
Takedown: Red Sabre	40.8	1.5	5	Serellan LLC	10-Feb-2014
Sweet Lily Dreams	52.1	1.5	14	RosePortal Games	16-May-2014
EvilQuest	87.9	1.5	4	Chaosoft Games	20-Feb-2014
Street Racing Syndicate	83.8	1.5	12	Eutechnyx	24-Apr-2014
PixelJunk Eden	80.2	1.5	9	Q-Games Ltd.	02-Feb-2012
Cargo Commander	82.1	1.5	12	Serious Brew	01-Nov-2012
Thief Town	77.6	1.5	0	Rude Ghost	04-Dec-2014
Overcast - Walden and the Werewolf	61.2	1.5	1	Microblast Games	18-Apr-2014
Tiny and Big: Grandpa's Leftovers	91.7	1.5	3	Black Pants Studio	19-Jun-2012
Sunless Sea	83.2	1.5	18	Failbetter Games	06-Feb-2015
Desert Ashes	54.7	1.5	0	Nine Tales Digital	10-Nov-2014
Teddy Floppy Ear - Mountain Adventure	88.3	1.5	1	Forever Entertainment S. A.	09-Jan-2015
SpaceChem	92	1.5	43	Zachtronics	02-Mar-2011
Down To One	38.3	1.5	No time registered yet	Gadget Games	07-Jan-2016
Anomaly 2	79.8	1.5	6	11 bit studios	15-May-2013
No Time To Explain Remastered	79	1.5	2	tinyBuild	17-Jul-2015
Zack Zero	64.9	1.5	4	Crocodile Entertainment	29-Apr-2013
Zup! Zero	93.6	1.5	1	Quiet River	06-Apr-2017
This War of Mine	93	1.5	11	11 bit studios	14-Nov-2014
The Deed	90.3	1.5	1	Pilgrim Adventures, GrabTheGames Studios	23-Nov-2015
Despair	34.3	1.4	1	AGC	12-May-2015
Human: Fall Flat	94.7	1.4	6	No Brakes Games	22-Jul-2016
I Am Bread	77.7	1.4	3	Bossa Studios	09-Apr-2015
METAL SLUG 2	87.5	1.4	1	SNK CORPORATION, Dotemu	14-Apr-2016
Worms Revolution	86.9	1.4	16	Team17 Digital Ltd	10-Oct-2012
Apollo4x	29.4	1.4	4	Digital Entertainment	05-May-2015
Slender: The Arrival	88	1.4	2	Blue Isle Studios	28-Oct-2013
8infinity	68.8	1.3	0	ENTERi	23-Sep-2016
TERA	79.2	1.3	32	Bluehole, Inc.	NA
METAL SLUG XX	49.9	1.3	1	SNK CORPORATION	31-Jan-2019
Wordle	84.9	1.3	1	PreoNus Games	12-Apr-2021
The Vanishing of Ethan Carter Redux	NA	1.3	4	The Astronauts	NA
Tony Hawk's Pro Skater HD	61.9	1.3	5	Robomodo	NA
Virtua Tennis 4	71.7	1.3	9	SEGA	24-Jun-2011
Resident Evil Village Gold Edition Gameplay Demo	NA	1.3	NA		20-Oct-2022
The Incredible Adventures of Van Helsing: Final Cut	76.1	1.2	19	NeocoreGames	06-Nov-2015
Windjammers 2	89.2	1.2	1	Dotemu	20-Jan-2022
The Land of Dasthir	38.4	1.2	No time registered yet	RPG Video	09-Jan-2017
Solar Flux	74.7	1.2	3	Firebrand Games	24-Oct-2013
SOULCALIBUR VI	82.1	1.2	7	BANDAI NAMCO Studios Inc., Dimps Corporation	18-Oct-2018
The Last Door: Season 2 - Collector's Edition	94.1	1.2	6	The Game Kitchen	29-Mar-2016
Zup! Z	97.3	1.2	1	Quiet River	21-Dec-2020
Strip 'Em	NA	1.2	1	DreamBig Games	17-Apr-2020
Battlefield: Bad Company™ 2	85	1.2	7	DICE	02-Mar-2010
Containment: The Zombie Puzzler	79.6	1.2	3	Bootsnake Games	02-Mar-2012
8-Bit Bayonetta	86.9	1	0	PlatinumGames, Bitbaboon	NA
ARK: Survival Evolved	83	1	57	Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC	27-Aug-2017
Hyper Knights: Battles	59.5	1	1	Endless Loop Studios	04-Dec-2017
99Vidas	79.6	1	4	QUByte Interactive	22-Dec-2016
100 hidden eternals	93.2	0.9	No time registered yet	Anatoliy Loginovskikh	09-Dec-2020
Resident Evil 7 Teaser: Beginning Hour	88.6	0.9	1	CAPCOM Co., Ltd.	18-Dec-2016
Zup! 9	95.9	0.9	1	Quiet River	24-Jun-2019
The Dark Pictures Anthology: Man of Medan	74.1	0.9	4	Supermassive Games	29-Aug-2019
The Expendabros	97.2	0.9	1	Free Lives	05-Aug-2014
MakeThatMoney	48.7	0.8	No time registered yet	EcoGames	22-Mar-2017
PRO EVOLUTION SOCCER 2019	54	0.7	30	Konami Digital Entertainment	29-Aug-2018
Pang Adventures	80	0.7	3	Dotemu	18-Apr-2016
Sacred Citadel	68.9	0.7	5	Southend	16-Apr-2013
Resident Evil 2 \1-Shot Demo\	92.1	0.7	1	CAPCOM Co., Ltd.	NA
Barro	77.9	0.6	1	SC Jogos	28-Mar-2018
Crash Time 2	56.5	0.6	No time registered yet		27-Aug-2009
Disney's Hercules	88.6	0.6	3	Disney Interactive	17-May-2019
Mortal Kombat Komplete Edition	91.1	0.6	9	NetherRealm Studios, High Voltage Software	NA
FlatOut: Ultimate Carnage	86.6	0.6	15	Bugbear Entertainment	26-Aug-2008
Emergency 2014	63.1	0.6	8	Sixteen Tons Entertainment	15-Nov-2013
TEKKEN 7	82.3	0.6	4	BANDAI NAMCO Studios Inc.	01-Jun-2017
Pro Evolution Soccer 2015	67.4	0.5	47	KONAMI Digital Entertainment	NA
Quake II	91.1	0.5	8	id Software	03-Aug-2007
Montaro : RE	95.9	0.5	0	JCKSLAP, Sherlerk, 我師父的徒兒, Eazie	23-Nov-2018
Marvel: Ultimate Alliance 2	52.8	0.5	9	Zoë Mode	26-Jul-2016
Nosgoth	74.1	0.5	26	Psyonix	NA
DARK SOULS™ II: Scholar of the First Sin	85.2	0.5	36	FromSoftware, Inc	01-Apr-2015
Hospital Tycoon	40.5	0.5	5	Deep Red Limited	13-Feb-2009
Need for Speed: Undercover	74.8	0.5	11	EA Black Box	19-Dec-2008
JUMP FORCE	73.7	0.5	14	Spike Chunsoft Co., Ltd.	14-Feb-2019
Crysis 2 Maximum Edition	84.9	0.5	9	Crytek Studios	22-Mar-2011
Half-Life	96.6	0.5	12	Valve	08-Nov-1998
Haydee	85.1	0.5	11	Haydee Interactive	26-Sep-2016
OVERKILL's The Walking Dead - BETA	NA	0.5	9		NA
Mara	0	0.5	No time registered yet	Defiant Child Games	NA
Driver San Francisco	72.7	0.4	9	Ubisoft Reflections	NA
Cryostasis	NA	0.4	8		NA
Teenage Mutant Ninja Turtles: Mutants in Manhattan	63.9	0.4	5	PlatinumGames	NA
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded	81.4	0.4	4	nFusion Interactive	27-Jun-2013
FUSER	86.2	0.4	10	Harmonix Music Systems, Inc	09-Nov-2020
Tetris® Ultimate	30	0.4	1	Ubisoft - San Francisco	10-Dec-2015
Rayman Legends	90.9	0.4	10		29-Aug-2013
Sword Coast Legends	54.2	0.4	20	n-Space	NA
The Chronicles of Riddick: Assault on Dark Athena	NA	0.4	9	Starbreeze Studios AB	16-Jun-2009
Grand Theft Auto 2	92.6	0.4	12	Rockstar North	04-Jan-2008
Pinball FX2	88.7	0.4	12	Zen Studios	NA
Dragon's Lair	77.3	0.4	1	Digital Leisure Inc.	17-May-2013
Audiosurf	95.8	0.4	8	Dylan Fitterer	15-Feb-2008
Worms Reloaded	86.6	0.3	9	Team17 Digital Ltd	26-Aug-2010
Red Dead Online	84.4	0.3	8	Rockstar Games	01-Dec-2020
Alien: Isolation	92.9	0.3	19	Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)	06-Oct-2014
007™ Legends	NA	0.3	6	Eurocom	02-Nov-2012
Assassin's Creed II	89.3	0.3	19	Ubisoft Montreal	04-Mar-2010
Ride to Hell: Retribution	NA	0.3	9		NA
MARVEL SNAP	NA	0.3	No time registered yet		18-Oct-2022
Ridge Racer™ Unbounded	60.3	0.3	8	BUGBEAR	29-Mar-2012
Child of Light	92.5	0.3	11	Ubisoft Montréal	29-Apr-2014
Max Payne	89.3	0.2	8	Remedy Entertainment	04-Jan-2008
The Elder Scrolls IV: Oblivion	95.6	0.2	27	Bethesda Game Studios	16-Jun-2009
Crazy Taxi	85.8	0.2	3	SEGA	04-Mar-2011
Alice: Madness Returns	89.1	0.2	14	Spicy Horse Games	17-Jun-2011
Orcs Must Die! 3	84.7	0.2	10	Robot Entertainment	23-Jul-2021
100 hidden snails 2	94.8	0.2	No time registered yet	Anatoliy Loginovskikh	26-Feb-2021
Milk inside a bag of milk inside a bag of milk	97.2	0.2	No time registered yet	Nikita Kryukov	26-Aug-2020
Pier Solar and the Great Architects	55.9	0.2	26	WaterMelon	29-Sep-2014
Fallout 3 - Game of the Year Edition	79.7	0.2	16	Bethesda Game Studios	17-Dec-2009
S.T.A.L.K.E.R.: Shadow of Chernobyl	94.5	0.2	15	GSC Game World	20-Mar-2007
Clive Barker's Jericho	NA	0.2	7		NA
Neighbours from Hell	97.5	0.2	3	JoWooD Vienna	07-Nov-2013
Among Us	91.8	0.2	9	Innersloth	16-Nov-2018
Hitman: Contracts	87.2	0.2	10	Io-Interactive A\/S	21-Jan-2014
Beyond Good & Evil	86.8	0.2	11	Ubisoft	13-May-2008
Commandos 3: Destination Berlin	63.3	0.2	13	Pyro Studios	15-Mar-2007
Golden Axed: A Cancelled Prototype	82.5	0.2	No time registered yet	The Eccentric Ape, SEGA	NA
Hitman: Codename 47	73	0.2	11	IO Interactive A\/S	15-Mar-2007
F1 2010™	69.1	0.2	34	Codemasters - Birmingham Studio	NA
DOOM (1993)	96.6	0.2	12	id Software	03-Aug-2007
F1 Race Stars	78.5	0.2	13	Codemasters	NA
TrackMania United Forever	94.7	0.2	8	Nadeo	16-Apr-2008
Wolfenstein: The New Order	91	0.2	11	MachineGames	19-May-2014
Section 8	NA	0.2	3		NA
Ghostbusters: The Video Game	92.3	0.2	8	Terminal Reality	NA
Tomb Raider I	85.2	0.2	5	Core Design	28-Nov-2012
Moto Racer  4	61.8	0.2	8	Artefacts Studio	02-Nov-2016
BioShock	94.2	0.2	12	2K Boston, 2K Australia	21-Aug-2007
Alien Breed: Impact	73.5	0.2	6	Team17 Software Ltd.	03-Jun-2010
Amnesia: The Dark Descent	94.7	0.2	8	Frictional Games	08-Sep-2010
Roof Rage	89.4	0.2	0	Early Melon	16-Oct-2019
Vinewing	57.1	0.2	NA	Eelooz AB	07-Nov-2017
RACE 07	84.7	0.2	4	SimBin	15-Oct-2007
Accidental Runner	15.6	0.2	No time registered yet	Albert Espín	NA
The Expendables 2 Videogame	61.3	0.2	5	Zootfly	20-Aug-2012
Onimusha 3: Demon Siege	NA	0.2	12		NA
Bully: Scholarship Edition	84.5	0.2	14	Rockstar New England	23-Dec-2010
FUEL	NA	0.1	25		NA
Windborne	52.4	0.1	No time registered yet	Hidden Path Entertainment	17-Feb-2014
Manhunt	69.3	0.1	11	Rockstar North	06-Jan-2011
Space Quest Collection	83.6	0.1	No time registered yet	Sierra	23-Jul-2009
Mirror's Edge	87.6	0.1	6	DICE	14-Jan-2009
100 hidden cats 2	93.9	0.1	No time registered yet	Anatoliy Loginovskikh	17-Jul-2021
Under the Ocean	NA	0.1	No time registered yet		NA
Need for Speed™ Most Wanted	77.7	0.1	20	Criterion Games	18-Jun-2020
Hex Phase	66.7	0.1	NA	Giovanni Goins	NA
STAR WARS™: Knights of the Old Republic™	91.1	0.1	29	BioWare, Aspyr (Mac)	05-Sep-2009
STAR WARS™ Jedi Knight: Jedi Academy™	96.1	0.1	10	Raven Software	16-Sep-2009
Prototype	80.4	0.1	11	Radical Entertainment	12-Jun-2009
The Harvest	NA	0.1	5		NA
Titan Quest	85.2	0.1	26	Iron Lore Entertainment	NA
Prince of Persia: The Sands of Time	85.9	0.1	9	Kudosoft	27-Aug-2009
Spore	92.2	0.1	12	Maxis™	19-Dec-2008
Duke Nukem	88.2	0.1	5	3D Realms, Interceptor Entertainment	NA
The Plan	92.3	0.1	No time registered yet	Krillbite Studio	14-Feb-2014
Half Minute Hero: Super Mega Neo Climax Ultimate Boy	86.4	0.1	5	Opus	27-Sep-2012
Kane & Lynch: Dead Men	63.5	0.1	5	IO Interactive	13-Dec-2007
Safecracker: The Ultimate Puzzle Adventure	58.1	0.1	4	Kheops Studio	29-Aug-2007
eFootball PES 2020	70.8	0.1	63	Konami Digital Entertainment	10-Sep-2019
Quake	96.2	0.1	5	id Software, Nightdive Studios, MachineGames	03-Aug-2007
The Forest	95.4	0.1	15	Endnight Games Ltd	30-Apr-2018
Zombie Driver	NA	NA	5		NA
Resident Evil: Operation Raccoon City	53.9	NA	6	Slant Six Games	NA
Project D Online	NA	NA	No time registered yet		NA
The Chronicles of Narnia - Prince Caspian	100	NA	9	Traveller's Tales	NA
Axiom Verge	91.8	NA	11	Thomas Happ Games LLC	14-May-2015
C-RUSH	22.9	NA	1	Artnumeris	17-Feb-2014
Prey	NA	NA	16	Humanhead Studios	NA
Raiden IV: OverKill	84.1	NA	3	Moss Co., Ltd.	02-Sep-2015
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	74.5	NA	3	Dejobaan Games, LLC, Owlchemy Labs	23-Nov-2011
Streets Of Kamurocho	76.7	NA	0	Empty Clip Studios, SEGA	NA
Hot Wheels™ World's Best Driver™	26.4	NA	0	Firebrand Games	NA
SKYHILL: Black Mist	55.6	NA	No time registered yet	Mandragora	11-Jun-2020
Midnight Club II	86.9	NA	12	Rockstar San Diego	04-Jan-2008
Heavy Metal Machines	75.2	NA	No time registered yet	Hoplon	NA
Microsoft Flight Simulator X: Steam Edition	86	NA	20	Microsoft Game Studios	18-Dec-2014
Dungeon Siege 2	73.4	NA	27	Gas Powered Games	16-Aug-2005
Zup! XS	87	NA	2	Quiet River	17-Apr-2019
WWE 2K16	64.6	NA	13	Visual Concepts, Yuke's Co., LTD	10-Mar-2016
Doki Doki Literature Club	96.6	NA	4	Team Salvato	06-Oct-2017
Duke Nukem: Manhattan Project	89.1	NA	6	Sunstorm Interactive, 3D Realms, Interceptor Entertainment	NA
Titan Quest: Immortal Throne	91.8	NA	15	Iron Lore Entertainment	NA
Loadout	86.9	NA	No time registered yet	Edge of Reality	31-Jan-2014
The Legends of Owlia	77.8	NA	No time registered yet	Gradual Games	11-Jan-2017
Sine Mora	81.7	NA	3	Digital Reality	09-Nov-2012
JumpJet Rex	87.2	NA	3	TreeFortress Games	21-Apr-2015
WRC Powerslide	NA	NA	6		NA
Gunducky Industries	57.1	NA	No time registered yet	The Voices Games	28-Aug-2017
Robocraft	72.7	NA	58	Freejam	24-Aug-2017
Bus Driver	80.3	NA	7	SCS Software	03-Jun-2014
Fire & Steel	88.1	NA	No time registered yet	Kreatin Studios	14-Dec-2021
Moonrise	67.4	NA	No time registered yet	Undead Labs	NA
Pandemonium	67.3	NA	7	Crystal Dynamics	08-Oct-2013
Stranger Things 3: The Game	88.4	NA	9	BonusXP	04-Jul-2019
Armor Of Heroes	58.4	NA	No time registered yet	The Eccentric Ape, SEGA	NA
Barbie™ Dreamhouse Party™	93.1	NA	1	Torus Games	19-Nov-2013
Windforge	67.3	NA	0	Snowed In Studios	11-Mar-2014
Cactus Canyon	NA	NA	NA	Barty Games	NA
World of Goo	94.4	NA	6	2D BOY	13-Oct-2008
ENDLESS™ Zone	56.7	NA	1	The Eccentric Ape, SEGA	NA
Titan	62.5	NA	0	Interplay	NA
Counter-Strike: Source	96.2	NA	73	Valve	01-Nov-2004
Shattered Horizon	84.7	NA	21	Futuremark	04-Nov-2009
Fidget Spinner	82	NA	No time registered yet	Antonio Renna	06-Sep-2017
Broken Sword 1 - Shadow of the Templars: Director's Cut	93	NA	10	Revolution Software Ltd	02-Sep-2010
Grand Theft Auto	84.8	NA	13	Rockstar North	04-Jan-2008
Warspear Online	76.1	NA	No time registered yet	AIGRIND	02-Nov-2017
Nyheim	67.1	NA	3	Happy Hobgoblin	31-Jan-2017
GTR Evolution	74.9	NA	1	SimBin	01-Sep-2008
Summertime Madness	80	NA	2	DP Games	17-Jun-2021
Hentai 3018	77.1	NA	0	Easy game	31-May-2018
Tomb Raider II	86.8	NA	16	Core Design	28-Nov-2012
Law & Order: Legacies	81.1	NA	8	Telltale Games	NA
Domina	66.1	NA	5	Dolphin Barn Incorporated	NA
Toy Story 3	71.4	NA	5	Avalanche Software	06-Oct-2014
FaeVerse Alchemy	65.8	NA	10	Subsoap	02-Apr-2014
Trivia Vault: Mixed Trivia	50.7	NA	No time registered yet	Ripknot Systems	11-Aug-2017
Girlfriend Experience VR	NA	NA	NA	Night Bushayers	25-Sep-2018
Brawlhalla	83.8	NA	72	Blue Mammoth Games	17-Oct-2017
Just Hero	51.1	NA	0	Anatoliy Loginovskikh	28-Sep-2016
Worms Armageddon	94.2	NA	8	Team17 Digital Ltd	19-Mar-2013
Crasher	NA	NA	No time registered yet		NA
Shadow Man	88.4	NA	15	Acclaim Studios Teesside	18-Oct-2013
FEZ	92.5	NA	6	Polytron Corporation	01-May-2013
Sacred Gold	84.7	NA	19	Studio II	09-Jul-2008
Hentai Secrets	92.5	NA	No time registered yet	kraken666	31-Jan-2019
Actua Soccer 3	NA	NA	No time registered yet		NA
Shatter	94	NA	3	Sidhe	15-Mar-2010
PICO PARK:Classic Edition	70.1	NA	1	TECOPARK	27-Apr-2016
SONIC THE HEDGEHOG 4 Episode II	75.7	NA	3	SEGA	14-May-2012
Eets	46.3	NA	5	Klei Entertainment	NA
New York Taxi Simulator	24.2	NA	No time registered yet	Little Freedom Factory	04-Mar-2016
King’s Bounty: Legions	53.7	NA	No time registered yet	Nival	10-Dec-2013
.hack//G.U. Last Recode	87.3	NA	50	CyberConnect2	03-Nov-2017
2D Neon Cube	66	NA	1	Laush Dmitriy Sergeevich	08-Sep-2017
4 Alice : Lorange Journey	88.9	NA	1	Mia Blais-Côté	NA
7 Angels	NA	NA	No time registered yet		28-Feb-2022
7 Wonders: Ancient Alien Makeover	85.3	NA	7	MumboJumbo	24-Oct-2012
7 Wonders: The Treasures of Seven	72.2	NA	7	MumboJumbo	14-Nov-2008
7 Wonders II	78.2	NA	6	MumboJumbo	10-Jun-2008
7th Legion	57.3	NA	40	Epic MegaGames, Vision Software	23-Oct-2014
18 Wheels of Steel: American Long Haul	72	NA	20	SCS Software	29-Jan-2008
911 Operator	89.1	NA	6	Jutsu Games	24-Feb-2017
1001 Spikes	82.1	NA	7	Nicalis, Inc.	03-Jun-2014
1993 Space Machine	68.4	NA	3	Exceed, Aurora Punks	28-Mar-2016
A-Train 8	45.5	NA	No time registered yet	ARTDINK	18-Sep-2013
A-Train 9	48.6	NA	No time registered yet	Degica	NA
A.L.A.N.	78.6	NA	0	Mia Blais-Côté	NA
AaAaAA!!! - A Reckless Disregard for Gravity	83.7	NA	5	Dejobaan Games, LLC	03-Sep-2009
Abstract Arena	55.2	NA	No time registered yet	Credici	03-Aug-2017
Achievement Idler: Red	86.9	NA	0	IHM Studio	13-May-2018
Acorn Assault: Rodent Revolution	73.4	NA	0	High Tale Studios	02-Mar-2016
ADR1FT	55.4	NA	NA	THREE ONE ZERO	28-Mar-2016
Adventures Of Pipi	74.9	NA	0	Nikita \Ghost_RUS\	10-Nov-2017
Adventures of Robinson Crusoe	53.8	NA	2	MagicIndie	09-Jan-2015
Adventure Time: Pirates of the Enchiridion	88.6	NA	6	Climax Studios	17-Jul-2018
Aeolis Tournament	82.6	NA	1	Beyond Fun Studio	16-Jul-2020
Aeronautica Imperialis: Flight Command	43.6	NA	No time registered yet	Binary Planets	28-May-2020
Afterfall: Reconquest Episode I	74.5	NA	2	IntoXicate Studios	NA
Afterfall InSanity - Dirty Arena Edition	27.3	NA	7	Intoxicate Studios	NA
Agony	47.3	NA	7	Madmind Studio	29-May-2018
Agony UNRATED	NA	NA	7	Madmind Studio	30-Oct-2018
Agricultural Simulator 2012: Deluxe Edition	31.6	NA	0	United Independent Entertainment	17-Apr-2015
Agricultural Simulator 2013 Steam Edition	22.4	NA	No time registered yet	Actalogic	07-Jun-2013
Agricultural Simulator: Historical Farming	25.3	NA	No time registered yet	Actalogic	06-Nov-2013
Airport Simulator 2014	17.2	NA	23	United Independent Entertainment	19-Dec-2013
AI War: Fleet Command	82.7	NA	24	Arcen Games, LLC	21-Oct-2009
Akane	96.1	NA	5	Ludic Studios	10-Sep-2018
Alan : Rift Breakers	100	NA	No time registered yet	Mia Blais-Côté	NA
Alan Wake's American Nightmare	70.8	NA	4	Remedy Entertainment	22-May-2012
Alarameth TD	68.3	NA	No time registered yet	Matt Gadient	23-Jun-2015
Alien Breed 2: Assault	68.4	NA	6	Team17 Digital Ltd	22-Sep-2010
Alien Breed 3: Descent	72.7	NA	5	Team17 Digital Ltd	17-Nov-2010
